metabolite	HMDB_ID	reaction	gene	direction
(2E)-Dodecenoyl-CoA	HMDB0003712	Lauroyl-CoA + NADP → (2E)-Dodecenoyl-CoA + NADPH + Hydrogen Ion	Mecr[Unknown]	product
(2E)-Hexadecenoyl-CoA	HMDB0003945	(S)-3-Hydroxyhexadecanoyl-CoA → (2E)-Hexadecenoyl-CoA + Water	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	product
(2E)-Hexadecenoyl-CoA	HMDB0003945	hexadecanoyl-CoA + FAD → (2E)-Hexadecenoyl-CoA + FADH	Acadl[Unknown]; Acadm[Unknown]; Acox1[Unknown]; Acox3[Unknown]; Acadvl[Unknown]	product
(2E)-Hexadecenoyl-CoA	HMDB0003945	hexadecanoyl-CoA + NADP → (2E)-Hexadecenoyl-CoA + NADPH + Hydrogen Ion	Mecr[Unknown]	product
(2E)-Octenoyl-CoA	HMDB0003949	(S)-Hydroxyoctanoyl-CoA → (2E)-Octenoyl-CoA + Water	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	product
(2E)-Octenoyl-CoA	HMDB0003949	Octanoyl-CoA + FAD → (2E)-Octenoyl-CoA + FADH	Acadl[Unknown]; Acadm[Unknown]; Acox1[Unknown]; Acox3[Unknown]	product
(2E)-Octenoyl-CoA	HMDB0003949	Octanoyl-CoA + NADP → (2E)-Octenoyl-CoA + NADPH + Hydrogen Ion	Mecr[Unknown]	product
(R)-5-Diphosphomevalonic acid	HMDB0001090	Adenosine triphosphate + (R)-5-Diphosphomevalonic acid → ADP + Phosphate + Isopentenyl pyrophosphate + CO(2)	Mvd[Enzyme]	substrate
(R)-5-Diphosphomevalonic acid	HMDB0001090	Adenosine triphosphate + (R)-5-Diphosphomevalonic acid → ADP + Phosphate + Isopentenyl pyrophosphate + Carbon dioxide	Mvd[Enzyme]	substrate
(R)-5-Diphosphomevalonic acid	HMDB0001090	Adenosine triphosphate + Mevalonic acid-5P → ADP + (R)-5-Diphosphomevalonic acid	Pmvk[Enzyme]	product
(R)-beta-Aminoisobutyric acid	HMDB0002299	(R)-beta-Aminoisobutyric acid + Pyruvic acid → 2-Methyl-3-oxopropanoic acid + L-Alanine	Agxt2[Enzyme]	substrate
(S)-2,3-Epoxysqualene	HMDB0001188	(S)-2,3-Epoxysqualene → Lanosterol	Lss[Enzyme]	substrate
(S)-2,3-Epoxysqualene	HMDB0001188	Squalene + Oxygen + NADPH + Hydrogen Ion → (S)-2,3-Epoxysqualene + NADP + Water	Sqle[Unknown]	product
(S)-2,3-Epoxysqualene	HMDB0001188	Squalene + Reduced acceptor + Oxygen → (S)-2,3-Epoxysqualene + Acceptor + Water	Sqle[Unknown]	product
(S)-3-Hydroxydodecanoyl-CoA	HMDB0003936	(S)-3-Hydroxydodecanoyl-CoA + NAD → 3-Oxododecanoyl-CoA + NADH + Hydrogen Ion	Tuba8[Unknown]; Ehhadh[Unknown]; Hadh[Unknown]; Hadha[Unknown]	substrate
(S)-3-Hydroxydodecanoyl-CoA	HMDB0003936	(S)-3-Hydroxydodecanoyl-CoA → (2E)-Dodecenoyl-CoA + Water	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	substrate
(S)-3-Hydroxyhexadecanoyl-CoA	HMDB0003932	(S)-3-Hydroxyhexadecanoyl-CoA + NAD → 3-Oxohexadecanoyl-CoA + NADH + Hydrogen Ion	Tuba8[Unknown]; Ehhadh[Unknown]; Hadh[Unknown]; Hadha[Unknown]	substrate
(S)-3-Hydroxyhexadecanoyl-CoA	HMDB0003932	(S)-3-Hydroxyhexadecanoyl-CoA → (2E)-Hexadecenoyl-CoA + Water	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyric acid + NAD → (S)-Methylmalonic acid semialdehyde + NADH + Hydrogen Ion	Tuba8[Unknown]; Ehhadh[Unknown]; Hadh[Unknown]; Hibadh[Unknown]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyric acid + NAD → 2-Methyl-3-oxopropanoic acid + NADH	Hibadh[Unknown]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyric acid → 2-methyl-3-(sulfooxy)propanoic acid	Sult2b1[Enzyme]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyric acid → 3,4,5-trihydroxy-6-[(3-hydroxy-2-methylpropanoyl)oxy]oxane-2-carboxylic acid	Ugt1a1[Enzyme]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyric acid → 6-(2-carboxy-2-methylethoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid	Ugt1a1[Enzyme]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyryl-CoA + Water → Coenzyme A + (S)-3-Hydroxyisobutyric acid	Hibch[Enzyme]; Hibch[Enzyme]	product
(S)-3-Hydroxyisobutyryl-CoA	HMDB0001052	(S)-3-Hydroxyisobutyryl-CoA + Water → Coenzyme A + (S)-3-Hydroxyisobutyric acid	Hibch[Enzyme]; Hibch[Enzyme]	substrate
(S)-3-Hydroxyisobutyryl-CoA	HMDB0001052	Methacrylyl-CoA + Water → (S)-3-Hydroxyisobutyryl-CoA	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	product
(S)-3-Hydroxytetradecanoyl-CoA	HMDB0003934	(S)-3-Hydroxytetradecanoyl-CoA + NAD → 3-Oxotetradecanoyl-CoA + NADH	Tuba8[Unknown]; Ehhadh[Unknown]; Hadh[Unknown]; Hadha[Unknown]	substrate
(S)-3-Hydroxytetradecanoyl-CoA	HMDB0003934	(S)-3-Hydroxytetradecanoyl-CoA → (2E)-Tetradecenoyl-CoA + Water	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	substrate
(S)-Hydroxydecanoyl-CoA	HMDB0003938	(S)-Hydroxydecanoyl-CoA + NAD → 3-Oxodecanoyl-CoA + NADH + Hydrogen Ion	Tuba8[Unknown]; Ehhadh[Unknown]; Hadh[Unknown]; Hadha[Unknown]	substrate
(S)-Hydroxydecanoyl-CoA	HMDB0003938	(S)-Hydroxydecanoyl-CoA → (2E)-Decenoyl-CoA + Water	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	substrate
(S)-Hydroxyhexanoyl-CoA	HMDB0003942	(S)-Hydroxyhexanoyl-CoA + NAD → 3-Oxohexanoyl-CoA + NADH + Hydrogen Ion	Tuba8[Unknown]; Ehhadh[Unknown]; Hadh[Unknown]; Hadha[Unknown]	substrate
(S)-Hydroxyhexanoyl-CoA	HMDB0003942	(S)-Hydroxyhexanoyl-CoA → trans-2-Hexenoyl-CoA + Water	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	substrate
(S)-Hydroxyoctanoyl-CoA	HMDB0003940	(S)-Hydroxyoctanoyl-CoA + NAD → 3-Oxooctanoyl-CoA + NADH + Hydrogen Ion	Tuba8[Unknown]; Ehhadh[Unknown]; Hadh[Unknown]; Hadha[Unknown]	substrate
(S)-Hydroxyoctanoyl-CoA	HMDB0003940	(S)-Hydroxyoctanoyl-CoA → (2E)-Octenoyl-CoA + Water	Tuba8[Unknown]; Ehhadh[Unknown]; Echs1[Enzyme]; Hadha[Unknown]	substrate
(S)-beta-Aminoisobutyric acid	HMDB0002166	(S)-beta-Aminoisobutyric acid + Oxoglutaric acid → (S)-Methylmalonic acid semialdehyde + L-Glutamic acid	Abat[Enzyme]	substrate
(S)-beta-Aminoisobutyric acid	HMDB0002166	(S)-beta-Aminoisobutyric acid + Oxoglutaric acid → 2-Methyl-3-oxopropanoic acid + L-Glutamic acid	Abat[Enzyme]	substrate
1,3-Diaminopropane	HMDB0000002	1,3-Diaminopropane + Oxygen + Water → 3-Aminopropionaldehyde + Ammonia + Hydrogen peroxide	Aoc3[Unknown]; Aoc2[Unknown]	substrate
1,3-Diaminopropane	HMDB0000002	[eIF5A-precursor]-lysine + Spermidine → [eIF5A-precursor]-deoxyhypusine + 1,3-Diaminopropane	Dhps[Unknown]	product
1,4-Dithiothreitol	HMDB0013593	2,3-Epoxymenaquinone + 1,4-Dithiothreitol → Menatetrenone + Oxidized dithiothreitol + Water	Vkorc1[Enzyme]	substrate
1,4-Dithiothreitol	HMDB0013593	Phylloquinol + Oxidized dithiothreitol → Vitamin K1 2,3-epoxide + 1,4-Dithiothreitol	Vkorc1[Enzyme]	product
1,4-Dithiothreitol	HMDB0013593	Vitamin K + Oxidized dithiothreitol + Water → Vitamin K epoxide + 1,4-Dithiothreitol	Vkorc1[Enzyme]	product
1,4-Dithiothreitol	HMDB0013593	Vitamin K1 + Oxidized dithiothreitol + Water → Vitamin K1 2,3-epoxide + 1,4-Dithiothreitol	Vkorc1[Enzyme]	product
1-Methylhistamine	HMDB0000898	1-Methylhistamine + Water + Oxygen → Methylimidazole acetaldehyde + Ammonia + Hydrogen peroxide	Maob[Unknown]; Maoa[Unknown]	substrate
1-Methylhistamine	HMDB0000898	S-Adenosylmethionine + Histamine → S-Adenosylhomocysteine + 1-Methylhistamine	Hnmt[Unknown]	product
1-Methylnicotinamide	HMDB0000699	1-Methylnicotinamide + Oxygen + Water → N1-Methyl-2-pyridone-5-carboxamide + Hydrogen peroxide + Hydrogen Ion	Aox1[Unknown]	substrate
1-Methylnicotinamide	HMDB0000699	1-Methylnicotinamide + Oxygen + Water → N1-Methyl-4-pyridone-3-carboxamide + Hydrogen peroxide + Hydrogen Ion	Aox1[Unknown]	substrate
1-Methylnicotinamide	HMDB0000699	S-Adenosylmethionine + Niacinamide + Hydrogen Ion → S-Adenosylhomocysteine + 1-Methylnicotinamide	Nnmt[Unknown]	product
1-Methylnicotinamide	HMDB0000699	S-Adenosylmethionine + Niacinamide → S-Adenosylhomocysteine + 1-Methylnicotinamide	Nnmt[Unknown]	product
1-Pyrroline-2-carboxylic acid	HMDB0006875	D-Proline + Oxygen → 1-Pyrroline-2-carboxylic acid + Hydrogen peroxide	Dao[Unknown]	product
1-Pyrroline-5-carboxylic acid	HMDB0001301	1-Pyrroline-5-carboxylic acid + NAD + Water → L-Glutamic acid + NADH + Hydrogen Ion	Aldh4a1[Unknown]	substrate
1-Pyrroline-5-carboxylic acid	HMDB0001301	1-Pyrroline-5-carboxylic acid + NAD(P)(+) + Water → L-Glutamic acid + NAD(P)H	Aldh4a1[Unknown]	substrate
1-Pyrroline-5-carboxylic acid	HMDB0001301	1-Pyrroline-5-carboxylic acid + NADP + Water → L-Glutamic acid + NADPH + Hydrogen Ion	Aldh4a1[Unknown]	substrate
1-Pyrroline-5-carboxylic acid	HMDB0001301	L-Proline + Acceptor → 1-Pyrroline-5-carboxylic acid + Reduced acceptor	Prodh[Unknown]	product
1-Pyrroline-5-carboxylic acid	HMDB0001301	L-Proline + NAD → 1-Pyrroline-5-carboxylic acid + NADH + Hydrogen Ion	Pycr1[Unknown]; Pycr2[Unknown]	product
1-Pyrroline-5-carboxylic acid	HMDB0001301	L-Proline + NAD(P)(+) → 1-Pyrroline-5-carboxylic acid + NAD(P)H	Pycr1[Unknown]; Pycr2[Unknown]	product
1-Pyrroline-5-carboxylic acid	HMDB0001301	L-Proline + NADP → 1-Pyrroline-5-carboxylic acid + NADPH + Hydrogen Ion	Pycr1[Unknown]; Pycr2[Unknown]	product
1-Pyrroline-5-carboxylic acid	HMDB0001301	L-Proline + acceptor → 1-Pyrroline-5-carboxylic acid + reduced acceptor	Prodh[Unknown]; Prodh2[Unknown]	product
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + AICAR → Tetrahydrofolic acid + Phosphoribosyl formamidocarboxamide	Atic[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + Glycineamideribotide → Tetrahydrofolic acid + 5&#39;-Phosphoribosyl-N-formylglycinamide	Gart[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + Glycineamideribotide → Tetrahydrofolic acid + N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide	Gart[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + L-methionyl-tRNA(fMet) → Tetrahydrofolic acid + N-formylmethionyl-tRNA(fMet)	Mtfmt[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + NADP + Water → Tetrahydrofolic acid + CO(2) + NADPH	Aldh1l1[Enzyme]; Aldh1l2[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + NADP + Water → Tetrahydrofolic acid + Carbon dioxide + NADPH + Hydrogen Ion	Aldh1l1[Enzyme]; Aldh1l2[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	5,10-Methenyltetrahydrofolic acid + Water → 10-Formyltetrahydrofolate	Mthfd2[Unknown]; Mthfd1[Enzyme]; Mthfd2l[Unknown]	product
10-Formyltetrahydrofolate	HMDB0000972	5,10-Methenyltetrahydrofolic acid + Water → 10-Formyltetrahydrofolate + Hydrogen Ion	Mthfd2[Unknown]; Mthfd1[Enzyme]; Mthfd2l[Unknown]	product
10-Formyltetrahydrofolate	HMDB0000972	Adenosine triphosphate + Formic acid + Tetrahydrofolic acid → ADP + Phosphate + 10-Formyltetrahydrofolate	Mthfd1[Enzyme]; Mthfd1l[Enzyme]	product
10-Formyltetrahydrofolate	HMDB0000972	L-Methionyl-tRNA + 10-Formyltetrahydrofolate → Tetrahydrofolic acid + N-Formylmethionyl-tRNA	Mtfmt[Enzyme]	substrate
11,12-Epoxyeicosatrienoic acid	HMDB0004673	11,12-Epoxyeicosatrienoic acid + Water → 11,12-DiHETrE	Ephx2[Unknown]	substrate
11,12-Epoxyeicosatrienoic acid	HMDB0004673	Arachidonic acid + Oxygen + NADPH + Hydrogen Ion → 11,12-Epoxyeicosatrienoic acid + NADP + Water	Cyp4a32[Unknown]; Cyp4a30b[Unknown]; Cyp4a31[Unknown]; Cyp4a10[Unknown]; Cyp4a14[Unknown]; Cyp4a12b[Unknown]; Cyp4a29[Unknown]; Cyp4a12a[Unknown]; Cyp4a32[Unknown]; Cyp4a30b[Unknown]; Cyp4a31[Unknown]; Cyp4a10[Unknown]; Cyp4a14[Unknown]; Cyp4a12b[Unknown]; Cyp4a29[Unknown]; Cyp4a12a[Unknown]	product
11-cis-Retinol	HMDB0006216	An all-trans-retinyl ester + Water → 11-cis-Retinol + a fatty acid	Rpe65[Enzyme]	product
11-cis-Retinol	HMDB0006216	Palmitoylphosphatidylcholine + 11-cis-Retinol → 11-cis-Retinyl palmitate + 2-Acyl-sn-glycero-3-phosphocholine	Lrat[Enzyme]	substrate
11-cis-Retinol	HMDB0006216	Retinyl ester + Water → 11-cis-Retinol + Fatty acid	Rpe65[Enzyme]	product
11-cis-Retinol	HMDB0006216	hexadecanoyl-CoA + 11-cis-Retinol → Coenzyme A + 11-cis-Retinyl palmitate	Dgat1[Enzyme]	substrate
11b-Hydroxyandrost-4-ene-3,17-dione	HMDB0006773	11b-Hydroxyandrost-4-ene-3,17-dione + NADP → Adrenosterone + NADPH + Hydrogen Ion	Hsd11b1[Enzyme]	substrate
11b-Hydroxyandrost-4-ene-3,17-dione	HMDB0006773	11beta,17beta-Dihydroxy-4-androsten-3-one + NAD → 11b-Hydroxyandrost-4-ene-3,17-dione + NADH + Hydrogen Ion	Hsd17b2[Unknown]; H2-Ke6[Unknown]; Hsd17b1[Unknown]; Hsd17b7[Unknown]; Hsd17b6[Unknown]; Hsd17b12[Unknown]	product
11b-Hydroxyandrost-4-ene-3,17-dione	HMDB0006773	11beta,17beta-Dihydroxy-4-androsten-3-one + NADP → 11b-Hydroxyandrost-4-ene-3,17-dione + NADPH + Hydrogen Ion	Hsd17b2[Unknown]; H2-Ke6[Unknown]; Hsd17b1[Unknown]; Hsd17b7[Unknown]; Hsd17b6[Unknown]; Hsd17b12[Unknown]	product
11b-Hydroxyandrost-4-ene-3,17-dione	HMDB0006773	Reduced adrenal ferredoxin + Androstenedione + Oxygen → 11b-Hydroxyandrost-4-ene-3,17-dione + Oxidized adrenal ferredoxin + Water	Cyp11b1[Unknown]; Cyp11b2[Unknown]; Cyp11b1[Unknown]; Cyp11b2[Unknown]	product
12(S)-HPETE	HMDB0004243	Arachidonic acid + Oxygen → 12(S)-HPETE	Alox12[Unknown]	product
13-L-Hydroperoxylinoleic acid	HMDB0003871	Linoleic acid + Oxygen → 13-L-Hydroperoxylinoleic acid	Alox15[Unknown]	product
13-cis-Retinoic acid	HMDB0006219	Retinal + NAD + Water → 13-cis-Retinoic acid + NADH	Aldh1a1[Unknown]; Aldh1a7[Unknown]; Aldh1a2[Unknown]	product
14,15-Epoxy-5,8,11-eicosatrienoic acid	HMDB0004264	14,15-Epoxy-5,8,11-eicosatrienoic acid + Water → 14,15-DiHETrE	Ephx2[Unknown]	substrate
15(S)-HPETE	HMDB0004244	Arachidonic acid + Oxygen → 15(S)-HPETE	Alox8[Unknown]; Alox15[Unknown]	product
15(S)-HPETE	HMDB0004244	Glutathione + 15(S)-HPETE → Oxidized glutathione + 15-HETE + Water	Gpx7[Enzyme]; Gpx5[Enzyme]; Gpx6[Enzyme]; Gpx1[Enzyme]; Gpx3[Enzyme]; Gpx2[Enzyme]	substrate
16a-Hydroxydehydroisoandrosterone	HMDB0000352	16a-Hydroxyandrost-4-ene-3,17-dione + Hydrogen Ion + NADH → 16a-Hydroxydehydroisoandrosterone + NAD	Hsd3b8[Unknown]; Hsd3b1[Unknown]; Hsd3b6[Unknown]; Hsd3b9[Unknown]; Hsd3b2[Unknown]; Hsd3b3[Unknown]; Hsd3b5[Unknown]; Hsd3b4[Unknown]; Hsd3b8[Unknown]; Hsd3b1[Unknown]; Hsd3b6[Unknown]; Hsd3b9[Unknown]; Hsd3b2[Unknown]; Hsd3b3[Unknown]; Hsd3b5[Unknown]; Hsd3b4[Unknown]	product
17-Hydroxyprogesterone	HMDB0000374	17-Hydroxyprogesterone + Reduced acceptor + Oxygen → Androstenedione + Acetic acid + Acceptor + Water	Cyp17a1[Unknown]	substrate
17-Hydroxyprogesterone	HMDB0000374	17-Hydroxyprogesterone + Reduced acceptor + Oxygen → Cortexolone + Acceptor + Water	Cyp21a1[Unknown]	substrate
17-Hydroxyprogesterone	HMDB0000374	17-Hydroxyprogesterone + Reduced ferredoxin + Oxygen → 21-Deoxycortisol + Oxidized ferredoxin + Water	Cyp11b1[Unknown]; Cyp11b2[Unknown]; Cyp11b1[Unknown]; Cyp11b2[Unknown]	substrate
17-Hydroxyprogesterone	HMDB0000374	17a-Hydroxypregnenolone + NAD → 17-Hydroxyprogesterone + NADH + Hydrogen Ion	Hsd3b8[Unknown]; Hsd3b1[Unknown]; Hsd3b6[Unknown]; Hsd3b9[Unknown]; Hsd3b2[Unknown]; Hsd3b3[Unknown]; Hsd3b5[Unknown]; Hsd3b4[Unknown]; Hsd3b8[Unknown]; Hsd3b1[Unknown]; Hsd3b6[Unknown]; Hsd3b9[Unknown]; Hsd3b2[Unknown]; Hsd3b3[Unknown]; Hsd3b5[Unknown]; Hsd3b4[Unknown]	product
17-Hydroxyprogesterone	HMDB0000374	17alpha,20alpha-Dihydroxypregn-4-en-3-one + NAD(P)(+) → 17-Hydroxyprogesterone + NAD(P)H	Akr1c19[Unknown]; Akr1c12[Unknown]; Akr1c13[Unknown]; Akr1cl[Unknown]; Akr1c6[Unknown]; Akr1c20[Unknown]; Akr1c14[Unknown]; Akr1c21[Unknown]; Akr1c18[Unknown]	product
17-Hydroxyprogesterone	HMDB0000374	Progesterone + Reduced acceptor + Oxygen → 17-Hydroxyprogesterone + Acceptor + Water	Cyp17a1[Unknown]	product
17-beta-Estradiol-3-glucuronide	HMDB0006224	Estradiol + Uridine diphosphate glucuronic acid → 17-beta-Estradiol-3-glucuronide + Uridine 5&#39;-diphosphate	Ugt2b34[Enzyme]; Ugt2b1[Enzyme]; Ugt2b34[Enzyme]; Ugt2b1[Enzyme]; Ugt1a5[Enzyme]; Ugt2b34[Enzyme]; Ugt2b1[Enzyme]; Ugt2b34[Enzyme]; Ugt2b1[Enzyme]; Ugt2b1[Enzyme]; Ugt2b38[Enzyme]; Ugt2b35[Enzyme]; Ugt2b36[Enzyme]; Ugt2b5[Enzyme]; Ugt2b37[Enzyme]; Ugt2a1[Enzyme]; Ugt1a1[Enzyme]; Ugt1a10[Enzyme]; Ugt1a9[Enzyme]; Ugt1a7c[Enzyme]; Ugt1a10[Enzyme]; Ugt1a9[Enzyme]; Ugt1a7c[Enzyme]; Ugt1a2[Enzyme]; Ugt1a10[Enzyme]; Ugt1a9[Enzyme]; Ugt1a7c[Enzyme]; Ugt2b1[Enzyme]; Ugt2b38[Enzyme]; Ugt2b35[Enzyme]; Ugt2b36[Enzyme]; Ugt2b5[Enzyme]; Ugt2b37[Enzyme]; Ugt1a6b[Enzyme]; Ugt1a2[Enzyme]; Ugt2b34[Enzyme]; Ugt2b1[Enzyme]; Ugt1a10[Enzyme]; Ugt1a9[Enzyme]; Ugt1a7c[Enzyme]; Ugt2a3[Enzyme]	product
17a-Hydroxypregnenolone	HMDB0000363	17a,20a-Dihydroxycholesterol + Oxygen + Hydrogen Ion + Reduced adrenal ferredoxin → 17a-Hydroxypregnenolone + 4-Methylpentanal + Water + Oxidized adrenal ferredoxin	Cyp11a1[Unknown]	product
17a-Hydroxypregnenolone	HMDB0000363	17a-Hydroxypregnenolone + NAD → 17-Hydroxyprogesterone + NADH + Hydrogen Ion	Hsd3b8[Unknown]; Hsd3b1[Unknown]; Hsd3b6[Unknown]; Hsd3b9[Unknown]; Hsd3b2[Unknown]; Hsd3b3[Unknown]; Hsd3b5[Unknown]; Hsd3b4[Unknown]; Hsd3b8[Unknown]; Hsd3b1[Unknown]; Hsd3b6[Unknown]; Hsd3b9[Unknown]; Hsd3b2[Unknown]; Hsd3b3[Unknown]; Hsd3b5[Unknown]; Hsd3b4[Unknown]	substrate
17a-Hydroxypregnenolone	HMDB0000363	17a-Hydroxypregnenolone + NADPH + Hydrogen Ion + Oxygen → 17alpha,21-Dihydroxypregnenolone + NADP + Water	Cyp21a1[Unknown]	substrate
17a-Hydroxypregnenolone	HMDB0000363	17a-Hydroxypregnenolone + Reduced acceptor + Oxygen → Dehydroepiandrosterone + Acetic acid + Acceptor + Water	Cyp17a1[Unknown]	substrate
17a-Hydroxypregnenolone	HMDB0000363	Pregnenolone + Reduced acceptor + Oxygen → 17a-Hydroxypregnenolone + Acceptor + Water	Cyp17a1[Unknown]	product
2,3-Diphosphoglyceric acid	HMDB0001294	2,3-Diphosphoglyceric acid + Water → 2-Phospho-D-glyceric acid + Phosphate	Minpp1[Enzyme]	substrate
2,3-Diphosphoglyceric acid	HMDB0001294	2,3-Diphosphoglyceric acid + Water → 3-Phosphoglyceric acid + Phosphate	Bpgm[Enzyme]; Pgam2[Enzyme]; Pgam1[Enzyme]; Pgam1[Enzyme]	substrate
