metabolite	HMDB_ID	reaction	gene	direction
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyric acid → 2-methyl-3-(sulfooxy)propanoic acid	SULT2B1[Enzyme]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyric acid → 3,4,5-trihydroxy-6-[(3-hydroxy-2-methylpropanoyl)oxy]oxane-2-carboxylic acid	UGT1A1[Enzyme]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyric acid → 6-(2-carboxy-2-methylethoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid	UGT1A1[Enzyme]	substrate
(S)-3-Hydroxyisobutyric acid	HMDB0000023	(S)-3-Hydroxyisobutyryl-CoA + Water → Coenzyme A + (S)-3-Hydroxyisobutyric acid	HIBCH[Enzyme]; HIBCH[Enzyme]	product
(S)-3-Hydroxyisobutyryl-CoA	HMDB0001052	(S)-3-Hydroxyisobutyryl-CoA + Water → Coenzyme A + (S)-3-Hydroxyisobutyric acid	HIBCH[Enzyme]; HIBCH[Enzyme]	substrate
(S)-3-Hydroxyisobutyryl-CoA	HMDB0001052	Methacrylyl-CoA + Water → (S)-3-Hydroxyisobutyryl-CoA	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	product
(S)-3-Hydroxytetradecanoyl-CoA	HMDB0003934	(S)-3-Hydroxytetradecanoyl-CoA + NAD → 3-Oxotetradecanoyl-CoA + NADH	EHHADH[Unknown]; HADH[Unknown]; HADHA[Unknown]	substrate
(S)-3-Hydroxytetradecanoyl-CoA	HMDB0003934	(S)-3-Hydroxytetradecanoyl-CoA → (2E)-Tetradecenoyl-CoA + Water	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	substrate
(S)-Hydroxydecanoyl-CoA	HMDB0003938	(S)-Hydroxydecanoyl-CoA + NAD → 3-Oxodecanoyl-CoA + NADH + Hydrogen Ion	EHHADH[Unknown]; HADH[Unknown]; HADHA[Unknown]	substrate
(S)-Hydroxydecanoyl-CoA	HMDB0003938	(S)-Hydroxydecanoyl-CoA → (2E)-Decenoyl-CoA + Water	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	substrate
(S)-Hydroxyhexanoyl-CoA	HMDB0003942	(S)-Hydroxyhexanoyl-CoA + NAD → 3-Oxohexanoyl-CoA + NADH + Hydrogen Ion	EHHADH[Unknown]; HADH[Unknown]; HADHA[Unknown]	substrate
(S)-Hydroxyhexanoyl-CoA	HMDB0003942	(S)-Hydroxyhexanoyl-CoA → trans-2-Hexenoyl-CoA + Water	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	substrate
(S)-Hydroxyoctanoyl-CoA	HMDB0003940	(S)-Hydroxyoctanoyl-CoA + NAD → 3-Oxooctanoyl-CoA + NADH + Hydrogen Ion	EHHADH[Unknown]; HADH[Unknown]; HADHA[Unknown]	substrate
(S)-Hydroxyoctanoyl-CoA	HMDB0003940	(S)-Hydroxyoctanoyl-CoA → (2E)-Octenoyl-CoA + Water	EHHADH[Unknown]; ECHS1[Enzyme]; HADHA[Unknown]	substrate
(S)-beta-Aminoisobutyric acid	HMDB0002166	(S)-beta-Aminoisobutyric acid + Oxoglutaric acid → (S)-Methylmalonic acid semialdehyde + L-Glutamic acid	ABAT[Enzyme]	substrate
(S)-beta-Aminoisobutyric acid	HMDB0002166	(S)-beta-Aminoisobutyric acid + Oxoglutaric acid → 2-Methyl-3-oxopropanoic acid + L-Glutamic acid	ABAT[Enzyme]	substrate
1,3-Diaminopropane	HMDB0000002	1,3-Diaminopropane + Oxygen + Water → 3-Aminopropionaldehyde + Ammonia + Hydrogen peroxide	AOC3[Unknown]; AOC2[Unknown]	substrate
1,3-Diaminopropane	HMDB0000002	[eIF5A-precursor]-lysine + Spermidine → [eIF5A-precursor]-deoxyhypusine + 1,3-Diaminopropane	DHPS[Unknown]	product
1,4-Dithiothreitol	HMDB0013593	2,3-Epoxymenaquinone + 1,4-Dithiothreitol → Menatetrenone + Oxidized dithiothreitol + Water	VKORC1[Enzyme]	substrate
1,4-Dithiothreitol	HMDB0013593	Phylloquinol + Oxidized dithiothreitol → Vitamin K1 2,3-epoxide + 1,4-Dithiothreitol	VKORC1[Enzyme]	product
1,4-Dithiothreitol	HMDB0013593	Vitamin K + Oxidized dithiothreitol + Water → Vitamin K epoxide + 1,4-Dithiothreitol	VKORC1[Enzyme]	product
1,4-Dithiothreitol	HMDB0013593	Vitamin K1 + Oxidized dithiothreitol + Water → Vitamin K1 2,3-epoxide + 1,4-Dithiothreitol	VKORC1[Enzyme]	product
1-Methylhistamine	HMDB0000898	1-Methylhistamine + Water + Oxygen → Methylimidazole acetaldehyde + Ammonia + Hydrogen peroxide	MAOB[Unknown]; MAOA[Unknown]	substrate
1-Methylhistamine	HMDB0000898	S-Adenosylmethionine + Histamine → S-Adenosylhomocysteine + 1-Methylhistamine	HNMT[Unknown]	product
1-Methylnicotinamide	HMDB0000699	1-Methylnicotinamide + Oxygen + Water → N1-Methyl-2-pyridone-5-carboxamide + Hydrogen peroxide + Hydrogen Ion	AOX1[Unknown]	substrate
1-Methylnicotinamide	HMDB0000699	1-Methylnicotinamide + Oxygen + Water → N1-Methyl-4-pyridone-3-carboxamide + Hydrogen peroxide + Hydrogen Ion	AOX1[Unknown]	substrate
1-Methylnicotinamide	HMDB0000699	S-Adenosylmethionine + Niacinamide + Hydrogen Ion → S-Adenosylhomocysteine + 1-Methylnicotinamide	NNMT[Unknown]	product
1-Methylnicotinamide	HMDB0000699	S-Adenosylmethionine + Niacinamide → S-Adenosylhomocysteine + 1-Methylnicotinamide	NNMT[Unknown]	product
1-Pyrroline-2-carboxylic acid	HMDB0006875	D-Proline + Oxygen → 1-Pyrroline-2-carboxylic acid + Hydrogen peroxide	DAO[Unknown]	product
1-Pyrroline-5-carboxylic acid	HMDB0001301	1-Pyrroline-5-carboxylic acid + NAD + Water → L-Glutamic acid + NADH + Hydrogen Ion	ALDH4A1[Unknown]	substrate
1-Pyrroline-5-carboxylic acid	HMDB0001301	1-Pyrroline-5-carboxylic acid + NAD(P)(+) + Water → L-Glutamic acid + NAD(P)H	ALDH4A1[Unknown]	substrate
1-Pyrroline-5-carboxylic acid	HMDB0001301	1-Pyrroline-5-carboxylic acid + NADP + Water → L-Glutamic acid + NADPH + Hydrogen Ion	ALDH4A1[Unknown]	substrate
1-Pyrroline-5-carboxylic acid	HMDB0001301	L-Proline + Acceptor → 1-Pyrroline-5-carboxylic acid + Reduced acceptor	PRODH[Unknown]	product
1-Pyrroline-5-carboxylic acid	HMDB0001301	L-Proline + NAD → 1-Pyrroline-5-carboxylic acid + NADH + Hydrogen Ion	PYCR1[Unknown]; PYCR2[Unknown]; PYCRL[Unknown]	product
1-Pyrroline-5-carboxylic acid	HMDB0001301	L-Proline + NAD(P)(+) → 1-Pyrroline-5-carboxylic acid + NAD(P)H	PYCR1[Unknown]; PYCR2[Unknown]; PYCRL[Unknown]	product
1-Pyrroline-5-carboxylic acid	HMDB0001301	L-Proline + NADP → 1-Pyrroline-5-carboxylic acid + NADPH + Hydrogen Ion	PYCR1[Unknown]; PYCR2[Unknown]; PYCRL[Unknown]	product
1-Pyrroline-5-carboxylic acid	HMDB0001301	L-Proline + acceptor → 1-Pyrroline-5-carboxylic acid + reduced acceptor	PRODH[Unknown]; PRODH2[Unknown]	product
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + AICAR → Tetrahydrofolic acid + Phosphoribosyl formamidocarboxamide	ATIC[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + Glycineamideribotide → Tetrahydrofolic acid + 5&#39;-Phosphoribosyl-N-formylglycinamide	GART[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + Glycineamideribotide → Tetrahydrofolic acid + N(2)-formyl-N(1)-(5-phospho-D-ribosyl)glycinamide	GART[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + L-methionyl-tRNA(fMet) → Tetrahydrofolic acid + N-formylmethionyl-tRNA(fMet)	MTFMT[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + NADP + Water → Tetrahydrofolic acid + CO(2) + NADPH	ALDH1L1[Enzyme]; ALDH1L2[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	10-Formyltetrahydrofolate + NADP + Water → Tetrahydrofolic acid + Carbon dioxide + NADPH + Hydrogen Ion	ALDH1L1[Enzyme]; ALDH1L2[Enzyme]	substrate
10-Formyltetrahydrofolate	HMDB0000972	5,10-Methenyltetrahydrofolic acid + Water → 10-Formyltetrahydrofolate	MTHFD2[Unknown]; MTHFD1[Enzyme]; MTHFD2L[Unknown]	product
10-Formyltetrahydrofolate	HMDB0000972	5,10-Methenyltetrahydrofolic acid + Water → 10-Formyltetrahydrofolate + Hydrogen Ion	MTHFD2[Unknown]; MTHFD1[Enzyme]; MTHFD2L[Unknown]	product
10-Formyltetrahydrofolate	HMDB0000972	Adenosine triphosphate + Formic acid + Tetrahydrofolic acid → ADP + Phosphate + 10-Formyltetrahydrofolate	MTHFD1[Enzyme]; MTHFD1L[Enzyme]	product
10-Formyltetrahydrofolate	HMDB0000972	L-Methionyl-tRNA + 10-Formyltetrahydrofolate → Tetrahydrofolic acid + N-Formylmethionyl-tRNA	MTFMT[Enzyme]	substrate
11,12-Epoxyeicosatrienoic acid	HMDB0004673	11,12-Epoxyeicosatrienoic acid + Water → 11,12-DiHETrE	EPHX2[Unknown]	substrate
11,12-Epoxyeicosatrienoic acid	HMDB0004673	Arachidonic acid + Oxygen + NADPH + Hydrogen Ion → 11,12-Epoxyeicosatrienoic acid + NADP + Water	CYP4A11[Unknown]; CYP4A22[Unknown]	product
11-cis-Retinol	HMDB0006216	An all-trans-retinyl ester + Water → 11-cis-Retinol + a fatty acid	RPE65[Enzyme]	product
11-cis-Retinol	HMDB0006216	Palmitoylphosphatidylcholine + 11-cis-Retinol → 11-cis-Retinyl palmitate + 2-Acyl-sn-glycero-3-phosphocholine	LRAT[Enzyme]	substrate
11-cis-Retinol	HMDB0006216	Retinyl ester + Water → 11-cis-Retinol + Fatty acid	RPE65[Enzyme]	product
11-cis-Retinol	HMDB0006216	hexadecanoyl-CoA + 11-cis-Retinol → Coenzyme A + 11-cis-Retinyl palmitate	DGAT1[Enzyme]	substrate
11b-Hydroxyandrost-4-ene-3,17-dione	HMDB0006773	11b-Hydroxyandrost-4-ene-3,17-dione + NADP → Adrenosterone + NADPH + Hydrogen Ion	HSD11B1[Enzyme]	substrate
11b-Hydroxyandrost-4-ene-3,17-dione	HMDB0006773	11beta,17beta-Dihydroxy-4-androsten-3-one + NAD → 11b-Hydroxyandrost-4-ene-3,17-dione + NADH + Hydrogen Ion	HSD17B2[Unknown]; HSD17B8[Unknown]; HSD17B1[Unknown]; HSD17B7[Unknown]; HSD17B6[Unknown]; HSD17B12[Unknown]	product
11b-Hydroxyandrost-4-ene-3,17-dione	HMDB0006773	11beta,17beta-Dihydroxy-4-androsten-3-one + NADP → 11b-Hydroxyandrost-4-ene-3,17-dione + NADPH + Hydrogen Ion	HSD17B2[Unknown]; HSD17B8[Unknown]; HSD17B1[Unknown]; HSD17B7[Unknown]; HSD17B6[Unknown]; HSD17B12[Unknown]	product
11b-Hydroxyandrost-4-ene-3,17-dione	HMDB0006773	Reduced adrenal ferredoxin + Androstenedione + Oxygen → 11b-Hydroxyandrost-4-ene-3,17-dione + Oxidized adrenal ferredoxin + Water	CYP11B1[Unknown]; CYP11B2[Unknown]	product
12(S)-HPETE	HMDB0004243	Arachidonic acid + Oxygen → 12(S)-HPETE	ALOX12[Unknown]	product
13-L-Hydroperoxylinoleic acid	HMDB0003871	Linoleic acid + Oxygen → 13-L-Hydroperoxylinoleic acid	ALOX15[Unknown]	product
13-cis-Retinoic acid	HMDB0006219	Retinal + NAD + Water → 13-cis-Retinoic acid + NADH	ALDH1A1[Unknown]; ALDH1A2[Unknown]	product
14,15-Epoxy-5,8,11-eicosatrienoic acid	HMDB0004264	14,15-Epoxy-5,8,11-eicosatrienoic acid + Water → 14,15-DiHETrE	EPHX2[Unknown]	substrate
15(S)-HPETE	HMDB0004244	Arachidonic acid + Oxygen → 15(S)-HPETE	ALOX15B[Unknown]; ALOX15[Unknown]	product
15(S)-HPETE	HMDB0004244	Glutathione + 15(S)-HPETE → Oxidized glutathione + 15-HETE + Water	GPX7[Enzyme]; GPX5[Enzyme]; GPX6[Enzyme]; GPX1[Enzyme]; GPX3[Enzyme]; GPX2[Enzyme]	substrate
16a-Hydroxydehydroisoandrosterone	HMDB0000352	16a-Hydroxyandrost-4-ene-3,17-dione + Hydrogen Ion + NADH → 16a-Hydroxydehydroisoandrosterone + NAD	HSD3B1[Unknown]; HSD3B2[Unknown]	product
17-Hydroxyprogesterone	HMDB0000374	17-Hydroxyprogesterone + Reduced acceptor + Oxygen → Androstenedione + Acetic acid + Acceptor + Water	CYP17A1[Unknown]	substrate
17-Hydroxyprogesterone	HMDB0000374	17-Hydroxyprogesterone + Reduced acceptor + Oxygen → Cortexolone + Acceptor + Water	CYP21A2[Unknown]	substrate
17-Hydroxyprogesterone	HMDB0000374	17-Hydroxyprogesterone + Reduced ferredoxin + Oxygen → 21-Deoxycortisol + Oxidized ferredoxin + Water	CYP11B1[Unknown]; CYP11B2[Unknown]	substrate
17-Hydroxyprogesterone	HMDB0000374	17a-Hydroxypregnenolone + NAD → 17-Hydroxyprogesterone + NADH + Hydrogen Ion	HSD3B1[Unknown]; HSD3B2[Unknown]	product
17-Hydroxyprogesterone	HMDB0000374	17alpha,20alpha-Dihydroxypregn-4-en-3-one + NAD(P)(+) → 17-Hydroxyprogesterone + NAD(P)H	AKR1C1[Unknown]	product
17-Hydroxyprogesterone	HMDB0000374	Progesterone + Reduced acceptor + Oxygen → 17-Hydroxyprogesterone + Acceptor + Water	CYP17A1[Unknown]	product
17-beta-Estradiol-3-glucuronide	HMDB0006224	Estradiol + Uridine diphosphate glucuronic acid → 17-beta-Estradiol-3-glucuronide + Uridine 5&#39;-diphosphate	UGT2B28[Enzyme]; UGT2B4[Enzyme]; UGT1A4[Enzyme]; UGT2B10[Enzyme]; UGT2B7[Enzyme]; UGT2B15[Enzyme]; UGT2A1[Enzyme]; UGT1A1[Enzyme]; UGT1A9[Enzyme]; UGT1A8[Enzyme]; UGT1A3[Enzyme]; UGT1A10[Enzyme]; UGT2B17[Enzyme]; UGT1A6[Enzyme]; UGT1A5[Enzyme]; UGT2B11[Enzyme]; UGT1A7[Enzyme]; UGT2A3[Enzyme]	product
17a-Hydroxypregnenolone	HMDB0000363	17a,20a-Dihydroxycholesterol + Oxygen + Hydrogen Ion + Reduced adrenal ferredoxin → 17a-Hydroxypregnenolone + 4-Methylpentanal + Water + Oxidized adrenal ferredoxin	CYP11A1[Unknown]	product
17a-Hydroxypregnenolone	HMDB0000363	17a-Hydroxypregnenolone + NAD → 17-Hydroxyprogesterone + NADH + Hydrogen Ion	HSD3B1[Unknown]; HSD3B2[Unknown]	substrate
17a-Hydroxypregnenolone	HMDB0000363	17a-Hydroxypregnenolone + NADPH + Hydrogen Ion + Oxygen → 17alpha,21-Dihydroxypregnenolone + NADP + Water	CYP21A2[Unknown]	substrate
17a-Hydroxypregnenolone	HMDB0000363	17a-Hydroxypregnenolone + Reduced acceptor + Oxygen → Dehydroepiandrosterone + Acetic acid + Acceptor + Water	CYP17A1[Unknown]	substrate
17a-Hydroxypregnenolone	HMDB0000363	Pregnenolone + Reduced acceptor + Oxygen → 17a-Hydroxypregnenolone + Acceptor + Water	CYP17A1[Unknown]	product
2,3-Diphosphoglyceric acid	HMDB0001294	2,3-Diphosphoglyceric acid + Water → 2-Phospho-D-glyceric acid + Phosphate	MINPP1[Enzyme]	substrate
2,3-Diphosphoglyceric acid	HMDB0001294	2,3-Diphosphoglyceric acid + Water → 3-Phosphoglyceric acid + Phosphate	BPGM[Enzyme]; PGAM2[Enzyme]; PGAM4[Enzyme]; PGAM1[Enzyme]	substrate
2,3-Diphosphoglyceric acid	HMDB0001294	Glyceric acid 1,3-biphosphate → 2,3-Diphosphoglyceric acid	BPGM[Enzyme]; PGAM2[Enzyme]; PGAM4[Enzyme]; PGAM1[Enzyme]	product
2,3-Epoxyaflatoxin B1	HMDB0006558	2,3-Epoxyaflatoxin B1 + Glutathione → Aflatoxin B1exo-8,9-epoxide-GSH	GSTM2[Enzyme]; GSTM1[Enzyme]; MGST3[Enzyme]; GSTM3[Enzyme]; GSTA1[Enzyme]; MGST1[Enzyme]; GSTM4[Enzyme]; GSTM5[Enzyme]; MGST2[Enzyme]; GSTO1[Enzyme]; GSTA5[Enzyme]; GSTA2[Enzyme]; GSTA3[Enzyme]; GSTA4[Enzyme]; GSTO2[Enzyme]; GSTT1[Unknown]; GSTP1[Enzyme]; GSTT2B[Unknown]	substrate
2,3-Epoxyaflatoxin B1	HMDB0006558	2,3-Epoxyaflatoxin B1 + Water → Aflatoxin B1 diol	EPHX1[Enzyme]	substrate
2,3-Epoxyaflatoxin B1	HMDB0006558	2,3-Epoxyaflatoxin B1 → 2-amino-4-({1-[(carboxymethyl)-C-hydroxycarbonimidoyl]-2-({5-hydroxy-11-methoxy-16,18-dioxo-6,8,19-trioxapentacyclo[10.7.0.0²,⁹.0³,⁷.0¹³,¹⁷]nonadeca-1(12),2(9),10,13(17)-tetraen-4-yl}sulfanyl)ethyl}-C-hydroxycarbonimidoyl)butanoic acid	GSTP1[Enzyme]	substrate
2,5-Diaminopyrimidine nucleoside triphosphate	HMDB0006821	2,5-Diaminopyrimidine nucleoside triphosphate → 2,5-Diamino-6-(5&#39;-triphosphoryl-3&#39;,4&#39;-trihydroxy-2&#39;-oxopentyl)-amino-4-oxopyrimidine	GCH1[Unknown]	substrate
2,5-Diaminopyrimidine nucleoside triphosphate	HMDB0006821	Formamidopyrimidine nucleoside triphosphate + Water → 2,5-Diaminopyrimidine nucleoside triphosphate + Formic acid	GCH1[Unknown]	product
2-Amino-3-carboxymuconic acid semialdehyde	HMDB0001330	2-Amino-3-carboxymuconic acid semialdehyde → 2-Aminomuconic acid semialdehyde + CO(2)	ACMSD[Enzyme]	substrate
2-Amino-3-carboxymuconic acid semialdehyde	HMDB0001330	2-Amino-3-carboxymuconic acid semialdehyde → 2-Aminomuconic acid semialdehyde + Carbon dioxide	ACMSD[Enzyme]	substrate
2-Amino-3-carboxymuconic acid semialdehyde	HMDB0001330	3-Hydroxyanthranilic acid + Oxygen → 2-Amino-3-carboxymuconic acid semialdehyde	HAAO[Enzyme]	product
2-Aminoacrylic acid	HMDB0003609	3,5-Diiodo-L-tyrosine + Hydrogen peroxide → Thyroxine + 2-Aminoacrylic acid + Water	TPO[Unknown]	product
2-Aminoacrylic acid	HMDB0003609	Iodotyrosine + 3,5-Diiodo-L-tyrosine + Hydrogen peroxide → Liothyronine + 2-Aminoacrylic acid + Water	TPO[Unknown]	product
2-Aminoacrylic acid	HMDB0003609	L-Serine → 2-Aminoacrylic acid + Water	SDS[Enzyme]	product
2-Aminobenzoic acid	HMDB0001123	Formylanthranilic acid + Water → Formic acid + 2-Aminobenzoic acid	AFMID[Unknown]	product
2-Aminobenzoic acid	HMDB0001123	L-Kynurenine + Water → 2-Aminobenzoic acid + L-Alanine	KYNU[Unknown]	product
2-Aminomuconic acid semialdehyde	HMDB0001280	2-Amino-3-carboxymuconic acid semialdehyde → 2-Aminomuconic acid semialdehyde + CO(2)	ACMSD[Enzyme]	product
2-Aminomuconic acid semialdehyde	HMDB0001280	2-Amino-3-carboxymuconic acid semialdehyde → 2-Aminomuconic acid semialdehyde + Carbon dioxide	ACMSD[Enzyme]	product
2-Hydroxybutyric acid	HMDB0000008	2-Hydroxybutyric acid + NAD → 2-Ketobutyric acid + NADH + Hydrogen Ion	LDHAL6A[Unknown]; LDHB[Unknown]; LDHC[Unknown]; LDHA[Unknown]; LDHAL6B[Unknown]	substrate
2-Hydroxybutyric acid	HMDB0000008	2-Hydroxybutyric acid → 2-(sulfooxy)butanoic acid	SULT2B1[Enzyme]	substrate
2-Hydroxybutyric acid	HMDB0000008	2-Hydroxybutyric acid → 3,4,5-trihydroxy-6-[(2-hydroxybutanoyl)oxy]oxane-2-carboxylic acid	UGT1A1[Enzyme]	substrate
2-Hydroxybutyric acid	HMDB0000008	2-Hydroxybutyric acid → 6-(1-carboxypropoxy)-3,4,5-trihydroxyoxane-2-carboxylic acid	UGT1A1[Enzyme]	substrate
2-Hydroxyestradiol	HMDB0000338	2-Hydroxyestradiol + S-Adenosylmethionine → 2-Methoxyestradiol + S-Adenosylhomocysteine	COMT[Unknown]	substrate
2-Hydroxyestrone	HMDB0000343	2-Hydroxyestrone + S-Adenosylmethionine → 2-Methoxyestrone + S-Adenosylhomocysteine	COMT[Unknown]	substrate
2-Hydroxyphytanoyl-CoA	HMDB0001295	2-Hydroxyphytanoyl-CoA → Pristanal + Formyl-CoA	HACL1[Unknown]	substrate
2-Hydroxyphytanoyl-CoA	HMDB0001295	Phytanoyl-CoA + Oxoglutaric acid + Oxygen → 2-Hydroxyphytanoyl-CoA + Succinic acid + CO(2)	PHYH[Unknown]	product
2-Keto-glutaramic acid	HMDB0001552	2-Keto-glutaramic acid + Water → Oxoglutaric acid + Ammonia	NIT2[Unknown]	substrate
2-Keto-glutaramic acid	HMDB0001552	L-Glutamine + Phenylpyruvic acid → 2-Keto-glutaramic acid + L-Phenylalanine	CCBL1[Enzyme]	product
