HMDB_ID	Secondary_HMDB_ID	Kegg_ID	metabolite	synonyms_name	Organ and components	Cell and elements	Tissue and substructures	Biofluid and excreta	Subcellular	kingdom	super_class	sub_class	class	associated_gene	Software_Predicted	BioLocation_Summary
HMDB0012880	HMDB12880	C18170	Acetamidopropanal	N-(3-Oxopropyl)acetamide; 3-Acetamidopropanal; 3AAP						Organic compounds	Organic oxygen compounds	Carbonyl compounds	Organooxygen compounds	PAOX	Compass	Other
HMDB0002197	HMDB02197	C17339	7a,12a-Dihydroxy-cholestene-3-one	7-a,12-a-Dihydroxy-4-cholesten-3-one; 7-a,12-a-Dihydroxycholest-4-en-3-one; 7-a,12-alpha-Dihydroxy-4-cholesten-3-one; 7-a,12-alpha-Dihydroxycholest-4-en-3-one; 7-alpha,12-alpha-Dihydroxy-4-cholesten-3-one; 7-alpha,12-alpha-Dihydroxycholest-4-en-3-one; 7alpha,12alpha-Dihydroxy-cholestene-3-one		Extracellular : Extracellular region	Hepatic tissue : Liver tissue | All tissues | Adipose tissue : Fat tissue - Body fat - Adipose	Urine	Membrane | Mitochondria | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Cholestane steroids	Steroids and steroid derivatives	AKR1D1; SRD5A2; SRD5A1; CYP8B1	Compass	Extracellular
HMDB0001440	HMDB01440	C00286	dGTP	2'-Deoxyguanosine 5'-triphosphate; Deoxyguanosine 5'-triphosphate; Deoxyguanosine triphosphate; 2'-Deoxyguanosine 5'-triphosphoric acid; Deoxyguanosine 5'-triphosphoric acid; Deoxyguanosine triphosphoric acid; 2'-Deoxyguanosine triphosphate; Deoxy-GTP; Deoxyguanosine triphosphate, 3H-labeled					Mitochondria | Nucleus : Cell nucleus - Nucleic | Cytoplasm : Cytoplasma	Organic compounds	Nucleosides, nucleotides, and analogues	Purine deoxyribonucleotides	Purine nucleotides	UCK1; NME4; NME1; NME7; NME2; NME3; NME6; ITPA; PKM; PKLR; POLB; POLA1; POLD3; POLL; POLE4; POLH; POLD1; REV3L; POLE; POLM; POLK; POLE3; POLG; POLI; POLE2; UCK2; UCKL1; MYBBP1A; POLQ; POLD2; NME5; PRIM1; PRIM2	Compass	Other
HMDB0006408	HMDB06408		4-Hydroxy tolbutamide	1-Butyl-3-(4-hydroxymethylphenyl)sulfonylurea; Hydroxymethyltolbutamide; Hydroxytolbutamide; Methylhydroxytolbutamide; 1-Butyl-3-(4-hydroxymethylphenyl)sulphonylurea; 4 Hydroxy tolbutamide; 4-Hydroxytolbutamide; N-((butylamino)Carbonyl)-4-(hydroxymethyl)benzenesulfonamide	Liver | Kidney : Kidneys	Extracellular : Extracellular region		Urine | Blood	Cytoplasm : Cytoplasma	Organic compounds	Benzenoids	Benzenesulfonamides	Benzene and substituted derivatives		Compass	Extracellular | Blood
HMDB0000688	HMDB00688		Isovalerylcarnitine	3-Methylbutyrylcarnitine; Isovaleryl L-carnitine; 3-Methylbutyrylcarnitine, (+-)-isomer		Extracellular : Extracellular region	Placenta	Saliva | Blood | Urine	Membrane | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Fatty acid esters	Fatty Acyls		Compass	Extracellular | Blood
HMDB0003848	HMDB03848	C04520	D-myo-Inositol 3,4,5,6-tetrakisphosphate	Inositol-3,4,5,6-tetraphosphate; Ins-3,4,5,6-P4; Myo-inositol-3,4,5,6-tetrakisphosphate; Inositol 3,4,5,6-tetrakisphosphate; Inositol-3,4,5,6-tetraphosphoric acid; Myo-inositol-3,4,5,6-tetrakisphosphoric acid; Inositol 3,4,5,6-tetrakisphosphoric acid; D-Myo-inositol 3,4,5,6-tetrakisphosphoric acid; 1D-myo-Inositol 3,4,5,6-tetrakisphosphate; D-myo-Inositol, 3,4,5,6-tetrakis(dihydrogen phosphate); Ins(3,4,5,6)P3; D-myo-Inositol 3,4,5,6-tetrakisphosphate; D-myo-Inositol 3,4,5,6-tetraphosphate; Inositol 3,4,5,6-tetrakis(phosphate); Inositol 3,4,5,6-tetraphosphate; Ins(3,4,5,6)P4						Organic compounds	Organic oxygen compounds	Alcohols and polyols	Organooxygen compounds	ITPK1	Compass	Other
HMDB0003141	HMDB03141	C11061	Retinoyl b-glucuronide	all-trans-Retinoyl-beta-glucuronide; Retinoyl glucuronide; all-trans-Retinoyl-b-glucuronide; all-trans-Retinoyl-β-glucuronide; 13-cis-Retinoate; 13-cis-Retinoic acid; 13-cis-Retinoic acid acyl beta-D-glucuronide; 13-cis-Retinoic acid acyl beta-delta-glucuronide; 13-cis-Retinoyl glucuronide; 13-cis-Retinoyl-beta-D-glucuronide; 13-cis-Retinoyl-beta-delta-glucuronide; 13-cis-Retinoyl-beta-glucuronide; 9-cis-Retinoyl-beta-D-glucuronide; 9-cis-Retinoyl-beta-delta-glucuronide; all-trans-Retinoyl-beta-D-glucuronide; all-trans-Retinoyl-beta-delta-glucuronide; Glucuronide; Retinoate; Retinoic acid; Retinoic acid beta-D-glucuronide; Retinoic acid beta-delta-glucuronide; Retinoyl beta-glucuronide; Retinoyl-beta-glucuronide; trans-Retinoyl glucuronide	Intestine | Liver | Skin | Kidney : Kidneys | Pancreas	Extracellular : Extracellular region | Cell	Placenta | Adipose tissue : Fat tissue - Body fat - Adipose | Epidermis	Urine | Blood	Cytoplasm : Cytoplasma | Membrane | Endoplasmic reticulum : Er | Cell membrane : Cellular membrane	Organic compounds	Lipids and lipid-like molecules	Terpene glycosides	Prenol lipids	UGT2B28; UGT2B4; UGT1A4; UGT2B10; UGT2B7; UGT2B15; UGT2A1; UGT1A1; UGT1A9; UGT1A8; UGT1A3; UGT1A10; UGT2B17; UGT1A6; UGT1A5; UGT2B11; UGT1A7; GUSB; UGT2A3; UGT1A10; UGT1A8; UGT1A7	Compass	Extracellular | Blood
HMDB0001405	HMDB02332	C05527	3-Sulfinylpyruvic acid	3-Sulfinopyruvate; 3-Sulfinylpyruvate; 3-Sulfinopyruvic acid; 3-Sulphinopyruvate; 3-Sulphinopyruvic acid; 3-Sulphinylpyruvate; 3-Sulphinylpyruvic acid; beta-Sulfinyl pyruvate; beta-Sulfinyl pyruvic acid; 2-oxo-3-Sulfinopropanoic acid; beta-Sulfinyl-pyruvate; beta-Sulfinyl-pyruvic acid; Β-sulfinyl pyruvate; Β-sulfinyl pyruvic acid; Β-sulfinyl-pyruvate; Β-sulfinyl-pyruvic acid; 3-Sulfinylpyruvic acid					Mitochondria	Organic compounds	Organic acids and derivatives	Alpha-keto acids and derivatives	Keto acids and derivatives	GOT1; GOT2	Compass	Other
HMDB0006246	HMDB06246		Tetracosatetraenoic acid (24:4n-6)	9Z,12Z,15Z,18Z-Tetracosatetraenoic acid; all-cis-Tetracosa-9,12,15,18-tetraenoic acid; C24:4N-6,9,12,15; Tetracosatetraenoic acid; 9Z,12Z,15Z,18Z-Tetracosatetraenoate; all-cis-Tetracosa-9,12,15,18-tetraenoate; Tetracosatetraenoate; Tetracosatetraenoate (24:4N-6); Tetracosatetraenoic acid N-6		Extracellular : Extracellular region		Urine	Cytoplasm : Cytoplasma | Membrane | Cell membrane : Cellular membrane | Adiposome : Lipid droplet - Lipid body - Lipid particle	Organic compounds	Lipids and lipid-like molecules	Fatty acids and conjugates	Fatty Acyls		Compass	Extracellular
HMDB0013045	HMDB13045		Prostaglandin PGE2 glyceryl ester	1,3-Dihydroxypropan-2-yl (5Z)-7-[(1S,2S,3S)-3-hydroxy-2-[(1E,3S)-3-hydroxyoct-1-en-1-yl]-5-oxocyclopentyl]hept-5-enoic acid		Extracellular : Extracellular region		Urine	Membrane | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma	Organic compounds	Lipids and lipid-like molecules	Eicosanoids	Fatty Acyls		Compass	Extracellular
HMDB0012575	HMDB12575		13E-Tetranor-16-carboxy-LTE4	Omega-COOH-13E-tetranor-lte4						Organic compounds	Organic acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives		Compass	Other
HMDB0001451	HMDB01451	C16241	(R)-Lipoic acid	(+)-alpha-Lipoic acid; (R)-(+)-Lipoate; (R)-(+)-Lipoic acid; (R)-1,2-Dithiolane-3-pentanoic acid; (R)-1,2-Dithiolane-3-valeric acid; (R)-6,8-Thioctic acid; alpha-Lipoic acid; Lipoic acid; R-(+)-Lipoic acid; R-LA; RLA; Thioctic acid; Thioctic acid D-form; (+)-a-Lipoate; (+)-a-Lipoic acid; (+)-alpha-Lipoate; (+)-α-lipoate; (+)-α-lipoic acid; (R)-Lipoate; (R)-1,2-Dithiolane-3-pentanoate; (R)-1,2-Dithiolane-3-valerate; (R)-6,8-Thioctate; a-Lipoate; a-Lipoic acid; alpha-Lipoate; α-lipoate; α-Lipoic acid; Lipoate; R-(+)-Lipoate; Thioctate; Thioctate D-form; Acid, alpha-lipoic; alpha Lipoic acid; 1,2-Dithiolane-3R-pentanoic acid; 1,2-Dithiolane-3R-pentanoate; (R)-Lipoic acid; (3R)-1,2-Dithiolane-3-pentanoic acid; (R)-(+)-1,2-Dithiolane-3-pentanoic acid; (R)-(+)-alpha-Lipoic acid; (R)-(+)-α-Lipoic acid; (R)-5-(1,2-Dithiolan-3-yl)pentanoicacid; (R)-alpha-Lipoic acid; (R)-α-Lipoic acid; ALA; alpha-(+)-Lipoic acid; α-(+)-Lipoic acid; 1,2-Dithiolane-3-valeric acid; 5-(1,2-Dithiolan-3-yl)pentanoic acid; 5-(1,2-Dithiolan-3-yl)valeric acid; 6,8-Thioctic acid; 6-Thioctic acid	Liver | Kidney : Kidneys	Extracellular : Extracellular region | Cell	Placenta | Skeletal muscle : Striated muscle | Muscle	Blood	Cytoplasm : Cytoplasma | Membrane | Cell membrane : Cellular membrane	Organic compounds	Organoheterocyclic compounds	Lipoic acids and derivatives	Dithiolanes	PDHX; DLAT; POR; DLST; GCSH; DBT; OXSM; LIPT1	Compass	Extracellular | Blood
HMDB0001173	HMDB01173	C00170	5'-Methylthioadenosine	5'-Deoxy-5'-(methylthio)adenosine; 5-Methylthioadenosine; 9-(5-S-Methyl-5-thio-beta-D-ribofuranosyl)-9H-purin-6-amine; Methylthioadenosine; MTA; S-Methyl-5'-thioadenosine; Thiomethyladenosine; 9-(5-S-Methyl-5-thio-b-D-ribofuranosyl)-9H-purin-6-amine; 9-(5-S-Methyl-5-thio-β-D-ribofuranosyl)-9H-purin-6-amine; 1-(6-Amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-beta-D-ribofuranose; 1-(6-Amino-9H-purin-9-yl)-1-deoxy-5-S-methyl-5-thio-beta-delta-ribofuranose; 5'-(Methylthio)-5'-deoxyadenosine; 5'-(Methylthio)adenosine; 5'-S-Methyl-5'-thio-adenosine; 5'-S-Methyl-5'-thioadenosine; S-Methyl-5-thioadenosine; Adenine(5'-deoxy-5'-methylthio)9-beta-D-furanoriboside; 5-MTDA; 5'-Methylthio-5'-deoxyadenosine; 5'-Deoxy-5'-methylthioadenosine; 5'-Methylthioadenosine, methyl-(14)C-labeled; 5'-Methylthioadenosine	Prostate : Prostate gland	Cell | Element	Placenta	Urine | Blood	Cytoplasm : Cytoplasma	Organic compounds	Nucleosides, nucleotides, and analogues	5'-deoxy-5'-thionucleosides	5'-deoxyribonucleosides	SMS; SRM; MTAP	Compass	Blood
HMDB0000142	HMDB00142	C00058	Formic acid	Acide formique; Ameisensaeure; Aminic acid; Bilorin; Formylic acid; H-COOH; HCO2H; HCOOH; Hydrogen carboxylic acid; Methanoic acid; Methoic acid; Aminate; Formylate; Hydrogen carboxylate; Methanoate; Methoate; Formate; Add-F; Ameisensaure; Collo-bueglatt; Collo-didax; Formira; Formisoton; Methanoic acid monomer; Myrmicyl; Sodium formate; Sybest; Wonderbond hardener m 600l; Calcium formate; Cobalt(II) formate dihydrate; Formic acid, aluminum salt; Formic acid, copper salt; Formic acid, cromium (+3) salt; Lithium formate; Ammonium formate; Formic acid, ammonium (4:1) salt; Formic acid, ammonium salt; Formic acid, calcium salt; Formic acid, copper (+2) salt; Formic acid, lead (+2) salt; Formic acid, lead salt; Formic acid, nickel salt; Formic acid, potassium salt; Formic acid, strontium salt; Mafusol; Ammonium tetraformate; Formic acid, 14C-labeled; Formic acid, cobalt (+2) salt; Formic acid, copper, ammonium salt; Formic acid, sodium salt; Formic acid, sodium salt, 14C-labeled; Formic acid, ammonium (2:1) salt; Formic acid, cadmium salt; Formic acid, cesium salt; Formic acid, copper, nickel salt; Formic acid, cromium (+3), sodium (4:1:1) salt; Formic acid, lithium salt; Formic acid, magnesium salt; Formic acid, nickel (+2) salt; Formic acid, rubidium salt; Formic acid, sodium salt, 13C-labeled; Formic acid, thallium (+1) salt; Formic acid, zinc salt; Nickel formate dihydrate; Aluminum formate; Potassium formate; Strontium formate; Lead formate; Nickel formate; Chromic formate; Cobaltous formate; Cupric formate; Magnesium formate; Zinc formate	Brain | Liver | Kidney : Kidneys | Pancreas	Extracellular : Extracellular region | Cell	Epidermis	Urine | Saliva | Feces : Fecal - Stool - Faecal - Faeces | Blood | Breast milk | Sweat | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma | Mitochondria | Nucleus : Cell nucleus - Nucleic | Endoplasmic reticulum : Er	Organic compounds	Organic acids and derivatives	Carboxylic acids	Carboxylic acids and derivatives	CYP51A1; ESD; ASPA; ACY3; MTHFD1; GCH1; CYP3A4; CYP2C9; CYP2C19; PDF; CYP2E1; CYP3A43; CYP1B1; CYP2C18; CYP2F1; CYP4X1; CYP2B6; CYP3A5; CYP2A13; CYP3A7; CYP4B1; CYP4Z1; CYP1A2; CYP19A1; CYP2C8; CYP2S1; CYP2J2; CYP2A7; CYP2A6; MTHFD1L; MTHFD2; AFMID; CYP1A1; CYP2D6; ADI1	Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0000175	HMDB00175	C00130	Inosinic acid	2'-Inosine-5'-monophosphate; 5'-IMP; 5'-Inosinate; 5'-Inosine monophosphate; 5'-Inosinic acid; Hypoxanthosine 5'-monophosphate; Inosine 5'-monophosphate; Inosine 5'-phosphate; Inosine monophosphate; Ribosylhypoxanthine monophosphate; 2'-Inosine-5'-monophosphoric acid; 5'-Inosine monophosphoric acid; Hypoxanthosine 5'-monophosphoric acid; Inosine 5'-monophosphoric acid; Inosine 5'-phosphoric acid; Inosine monophosphoric acid; Ribosylhypoxanthine monophosphoric acid; Inosinate; IMP; Inosine-5'-monophosphate; Inosinic acids; Inosinate, sodium; monoPhosphate, inosine; monoPhosphate, ribosylhypoxanthine; Sodium inosinate; Acid, inosinic; Acids, inosinic		Extracellular : Extracellular region	All tissues	Feces : Fecal - Stool - Faecal - Faeces | Blood | Cerebrospinal fluid : Csf	Cytoplasm : Cytoplasma | Mitochondria	Organic compounds	Nucleosides, nucleotides, and analogues	Purine ribonucleotides	Purine nucleotides	NT5E; NT5C1B; NT5C1A; NT5C; NT5M; ENTPD1; CANT1; ENTPD3; PYGL; PYGM; PYGB; ITPA; HPRT1; AMPD3; AMPD2; AMPD1; GMPR2; GMPR; ENTPD4; ENTPD6; ENTPD5; ADSS; IMPDH2; ATIC; IMPDH1; ADSSL1; NT5C3; ENTPD4; NT5C2; IMPDH1; ENTPD8	scFEA;Compass	Extracellular | Blood | Cerebrospinal fluid
HMDB0001319	HMDB01319	C00627	Pyridoxine 5'-phosphate	Pyridoxine 5'-(dihydrogen phosphate); Pyridoxine 5-phosphate; Pyridoxine phosphate; PYRIDOXINE-5'-phosphATE; Pyridoxol 5'-phosphate; Pyridoxol 5-phosphate; Pyridoxyl-5-phosphate; Pyridoxine 5'-(dihydrogen phosphoric acid); Pyridoxine 5-phosphoric acid; Pyridoxine phosphoric acid; PYRIDOXINE-5'-phosphoric acid; Pyridoxol 5'-phosphoric acid; Pyridoxol 5-phosphoric acid; Pyridoxyl-5-phosphoric acid; Pyridoxine 5'-phosphoric acid; 5-Hydroxy-4-(hydroxymethyl)-6-methyl-3-pyridylmethyl dihydrogen phosphate; 5-Hydroxy-6-methyl-3,4-pyridinedimethanol alpha( 3)-(dihydrogen phosphate); Pyridoxine-5P; Pyridoxine-p; Pyridoxine-phosphate; Pyridoxine 5-phosphate hydrochloride; 5-Phosphopyridoxine				Blood	Cytoplasm : Cytoplasma	Organic compounds	Organoheterocyclic compounds	Pyridoxines	Pyridines and derivatives	PNPO; PDXK; PDXP; PHOSPHO2	Compass	Blood
HMDB0002178	HMDB02178	C05448	3a,7a,12a-Trihydroxy-5b-cholestanoyl-CoA	3,7,12-Trihydroxy-5beta-cholestanoyl-CoA; 3,7,12-Trihydroxycholestan-26-oyl-CoA; 3,7,12-Trihydroxycoprostanoyl-CoA; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-coenzyme A; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA; 3alpha,7alpha,12alpha-Trihydroxycoprostanoyl-CoA; S-(3alpha,5beta,7alpha,12alpha)-3,7,12-Trihydroxycholestane-26-thioate; S-(3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl)-coenzyme A; THCA-CoA; Trihydroxycoprostanoyl-CoA; 3,7,12-Trihydroxy-5b-cholestanoyl-CoA; 3,7,12-Trihydroxy-5β-cholestanoyl-CoA; 3a,7a,12a-Trihydroxy-5b-cholestan-26-oyl-coenzyme A; 3Α,7α,12α-trihydroxy-5β-cholestan-26-oyl-coenzyme A; 3Α,7α,12α-trihydroxy-5β-cholestanoyl-CoA; 3a,7a,12a-Trihydroxycoprostanoyl-CoA; 3Α,7α,12α-trihydroxycoprostanoyl-CoA; S-(3a,5b,7a,12a)-3,7,12-Trihydroxycholestane-26-thioate; S-(3a,5b,7a,12a)-3,7,12-Trihydroxycholestane-26-thioic acid; S-(3alpha,5beta,7alpha,12alpha)-3,7,12-Trihydroxycholestane-26-thioic acid; S-(3Α,5β,7α,12α)-3,7,12-trihydroxycholestane-26-thioate; S-(3Α,5β,7α,12α)-3,7,12-trihydroxycholestane-26-thioic acid; S-(3a,7a,12a-Trihydroxy-5b-cholestanoyl)-coenzyme A; S-(3Α,7α,12α-trihydroxy-5β-cholestanoyl)-coenzyme A; (25R)-3-alpha,7-alpha,12-alpha-Trihydroxy-5-beta-cholestan-26-oyl-CoA; (25R)-3-alpha,7-alpha,12-alpha-Trihydroxy-5-beta-cholestan-26-oyl-coenzyme A; (25R)-3-alpha,7-alpha,12-alpha-Trihydroxy-5-beta-cholestanoyl-CoA; (25R)-3-alpha,7-alpha,12-alpha-Trihydroxy-5-beta-cholestanoyl-coenzyme A; 25(S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-CoA; 25(S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestan-26-oyl-coenzyme A; 25(S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA; 25(S)-3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-coenzyme A; 25(S)-5beta-Cholestane-3alpha,7alpha,12alpha-triol-26-oyl-CoA; 25(S)-5beta-Cholestane-3alpha,7alpha,12alpha-triol-26-oyl-coenzyme A; 25(S)-Trihydroxycoprostanoyl-CoA; 25(S)-Trihydroxycoprostanoyl-coenzyme A; 3-alpha,7-alpha,12-alpha-Trihydroxy-5-beta- cholanoyl-CoA; 3-alpha,7-alpha,12-alpha-Trihydroxy-5-beta- cholanoyl-coenzyme A; 3a,7a,12a-Trihydroxy-5b-cholestan-26-oyl-CoA; 3a,7a,12a-Trihydroxy-5b-cholestanoate; 3a,7a,12a-Trihydroxy-5b-cholestanoic acid; 3a,7a,12a-Trihydroxy-5b-cholestanoic acid coenzyme A ester; 3a,7a,12a-Trihydroxy-5b-cholestanoyl CoA; 3a,7a,12a-Trihydroxy-5b-cholestanoyl coenzyme A; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-CoA(S); 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-coenzyme A; 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl-coenzyme A(S); S-(3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestanoyl)-coenzyme; S-TrHCCoA; S-TRHCcoenzyme A; 3alpha,7alpha,12alpha-Trihydroxy-5 beta-cholestan-26-oyl-coenzyme A; 3Α,7α,12α-trihydroxy-5β-cholestan-26-oyl-CoA; 3a,7a,12a-Trihydroxy-5b-cholestanoyl-CoA	Liver	Extracellular : Extracellular region		Urine	Membrane | Endoplasmic reticulum : Er | Peroxisome : Peroxisome vesicle - Peroxisomal | Cell membrane : Cellular membrane | Cytoplasm : Cytoplasma | Mitochondria	Organic compounds	Lipids and lipid-like molecules	Fatty acyl thioesters	Fatty Acyls	SLC27A5; RDH13; ACAD8	Compass	Extracellular
HMDB0003892	HMDB03892		(S)-N-Methylsalsolinol	(R)-Isomer OF 1,2-dimethyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline; 1,2-DDTIQ; 1,2-Dimethyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline; HBR(R)-Isomer OF 1,2-dimethyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline; HBR(S)-Isomer OF 1,2-dimethyl-6,7-dihydroxy-1,2,3,4-tetrahydroisoquinoline; N-Methyl-(S)-salsolinol; N-Methylsalsolinol				Cerebrospinal fluid : Csf		Organic compounds	Organoheterocyclic compounds		Tetrahydroisoquinolines		Compass	Cerebrospinal fluid
HMDB0000963	HMDB00963	C04188	5-Methylthioribose 1-phosphate	5-S-Methyl-1-O-phosphono-5-thio-alpha-D-ribofuranose; S-Methyl-5-thio-5-deoxy-D-ribose 1-phosphate; S-Methyl-5-thio-D-ribose 1-phosphate; 5-S-Methyl-1-O-phosphono-5-thio-a-D-ribofuranose; 5-S-Methyl-1-O-phosphono-5-thio-α-D-ribofuranose; S-Methyl-5-thio-5-deoxy-D-ribose 1-phosphoric acid; S-Methyl-5-thio-D-ribose 1-phosphoric acid; S-Methyl-5-thio-a-D-ribose 1-phosphate; S-Methyl-5-thio-a-D-ribose 1-phosphoric acid; S-Methyl-5-thio-alpha-D-ribose 1-phosphoric acid; S-Methyl-5-thio-α-D-ribose 1-phosphate; S-Methyl-5-thio-α-D-ribose 1-phosphoric acid; S-Methyl-5-thio-alpha-D-ribose 1-phosphate; 1-PMTR; 1-Phospho-5-S-methylthio-alpha-D-ribofuranoside; 1-Phospho-5-S-methylthio-α-D-ribofuranoside; 1-Phospho-5-S-methylthioribose; 1-Phosphomethylthioribose; 5-Methylthio-D-ribose-1-phosphate; 5-Methylthioribose 1-phosphate; 5-Methylthioribose-1-phosphate					Cytoplasm : Cytoplasma	Organic compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	MTAP; MRI1	Compass	Other
HMDB0001112	HMDB01112	C00118; C00661	Glyceraldehyde 3-phosphate	(2R)-2-Hydroxy-3-(phosphonooxy)-propanal; Glyceraldehyde 3-phosphoric acid; Glyceraldehyde 3-phosphate; D-Glyceraldehyde 3-phosphoric acid; Glyceraldehyde-3-phosphoric acid; (2-Hydroxy-3-oxopropoxy)phosphonic acid; (2R)-2-Hydroxy-3-(phosphonooxy)propanal; (R)-Glyceraldehyde 3-phosphate; 2-Hydroxy-3-(phosphonooxy)propanal; 3-Phosphoglyceraldehyde; 3-Phosphoroglyceric aldehyde; D-Glyceraldehyde 3-phosphate; Phosphoglyceraldehyde; Triose phosphate	Kidney : Kidneys	Cell	Muscle	Blood	Cytoplasm : Cytoplasma	Organic compounds	Organic oxygen compounds	Carbohydrates and carbohydrate conjugates	Organooxygen compounds	GAPDHS; GAPDH; TKTL1; TALDO1; TKT; DERA; ALDOA; ALDOC; ALDOB; TPI1; DAK; SLCO2A1; TKTL2	scFEA;Compass	Blood
HMDB0002273	HMDB02273	C05947	4-Hydroxy-L-glutamic acid	(2S,4R)-2-Amino-4-hydroxypentanedioic acid; L-Erythro-4-hydroxyglutamic acid; Erythro-4-hydroxy-L-glutamate; (2S,4R)-2-Amino-4-hydroxypentanedioate; L-Erythro-4-hydroxyglutamate; Erythro-4-hydroxy-L-glutamic acid; 4-Hydroxy-L-glutamate; (4R)-4-Hydroxy-L-glutamate; (4R)-4-Hydroxy-L-glutamic acid; 2-Hydroxy-4-aminoglutarate; 2-Hydroxy-4-aminoglutaric acid; 4-Hydroxyglutamate; 4-Hydroxyglutamic acid; (2S)-2-Amino-4-hydroxypentanedioic acid; gamma-Hydroxyglutamic acid; Γ-hydroxyglutamic acid; 4-Hydroxy-L-glutamic acid	Liver		Placenta			Organic compounds	Organic acids and derivatives	Amino acids, peptides, and analogues	Carboxylic acids and derivatives	ALDH4A1; GOT1; GOT2; PRODH	Compass	Other
HMDB0006220	HMDB06220	C00376	13-cis-Retinal	(13cis)-Retinal; (2Z,4E,6E,8E)-3,7-Dimethyl-9-(2,6,6-trimethylcyclohex-1-en-1-yl)nona-2,4,6,8-tetraenal; 13-cis-Retinaldehyde; RETINAL; 13Z-Retinal; cis-13-Retinal; Neoretinene a; Neovitamin a aldehyde; 13-cis-Retinal		Extracellular : Extracellular region			Cytoplasm : Cytoplasma | Membrane | Cell membrane : Cellular membrane	Organic compounds	Lipids and lipid-like molecules	Retinoids	Prenol lipids		Compass	Extracellular
HMDB0006242	HMDB06242	C05577	3,4-Dihydroxymandelaldehyde	3,4-Dihydroxymandelic aldehyde; 3,4-Dihydroxyphenylglycolaldehyde; 3,4-Dihydroxyphenylglycolic aldehyde; alpha,3,4-Trihydroxybenzeneacetaldehyde; alpha,3,4-Trihydroxyphenylacetaldehyde; DHMAL; DHPGALD; DOPEGAL; a,3,4-Trihydroxybenzeneacetaldehyde; Α,3,4-trihydroxybenzeneacetaldehyde; a,3,4-Trihydroxyphenylacetaldehyde; Α,3,4-trihydroxyphenylacetaldehyde; a,3,4-Trihydroxy-benzeneacetaldehyde; alpha,3,4-Trihydroxy-benzeneacetaldehyde					Cytoplasm : Cytoplasma	Organic compounds	Benzenoids	Phenylacetaldehydes	Benzene and substituted derivatives	MAOB; MAOA; ALDH3A1; ALDH1A3; ADH4; ALDH3B2; ALDH3B1; ADH5; ADH1B; ADH7; ADH1A; ADH6; ADH1C	Compass	Other
HMDB0001084	HMDB01084	C04092	1-Piperideine-2-carboxylic acid	1,2-Didehydropiperidine-2-carboxylate; Delta(1)-Piperidine-2-carboxylic acid; 1-Piperideine-2-carboxylate; 1,2-Didehydropiperidine-2-carboxylic acid; delta(1)-Piperidine-2-carboxylate; Δ(1)-piperidine-2-carboxylate; Δ(1)-piperidine-2-carboxylic acid; D-1-Piperideine-2-carboxylate; delta(1)-Piperideine-2-carboxylate; Delta1-Piperideine-2-carboxylate; 1-p-2-CA; delta 1-Piperideine-2-carboxylate; delta1-Piperideine-2-carboxylic acid; Δ1-piperideine-2-carboxylate; Δ1-piperideine-2-carboxylic acid; 3,4,5,6-Tetrahydro-2-pyridinecarboxylate; 3,4,5,6-Tetrahydro-2-pyridinecarboxylic acid; D-1-Piperideine-2-carboxylic acid; delta1-Pipecolic acid; delta1-Piperidine-2-carboxylate; delta1-Piperidine-2-carboxylic acid; Δ1-pipecolic acid; Δ1-piperidine-2-carboxylate; Δ1-piperidine-2-carboxylic acid; P2C; 1-Piperideine-2-carboxylic acid					Peroxisome : Peroxisome vesicle - Peroxisomal	Organic compounds	Organoheterocyclic compounds	Hydropyridines	Pyridines and derivatives	PIPOX	Compass	Other
