mouse_gene,human_gene
Olfr39,OR7D4
Olfr410,OR3A1
Olfr1195,OR4C16
Olfr872,OR7E24
Olfr1303,OR4F21
Olfr1303,OR4F29
Olfr424,OR6K3
Olfr283,OR8S1
Olfr1274,OR4X2
Olfr836,OR7G2
Olfr1262,OR4C45
Olfr835,OR7G2
Olfr834,OR7G3
Olfr1354,OR7A10
Olfr1354,OR7A17
Olfr1506,OR4X2
Olfr370,OR10K1
Olfr370,OR10K2
Olfr727,OR4K15
Olfr867,OR7D4
Olfr847,OR7G2
Olfr850,OR7G1
Olfr850,OR7G2
Olfr109,OR12D3
Olfr1253,OR4A16
Olfr1253,OR4A5
Olfr1253,OR4A8
Olfr1199,OR4C16
Olfr1241,OR4A16
Olfr1246,OR4A16
Olfr1246,OR4A8
Olfr869,OR7E24
Olfr732,OR4N2
Olfr102,OR12D1
Olfr102,OR12D2
Olfr282,OR8S1
Olfr790,OR6C75
Olfr829,OR7G1
Olfr829,OR7G2
Olfr729,OR4K5
Olfr851,OR7G2
Olfr403,OR1A1
Olfr403,OR1A2
Olfr1238,OR4A16
Olfr1238,OR4A5
Olfr1238,OR4A8
Olfr19,OR7A10
Olfr19,OR7A17
Olfr19,OR7A2P
Olfr19,OR7A5
Olfr828,OR7G2
Olfr1240,OR4A16
Olfr8,OR7A10
Olfr8,OR7A17
Olfr18,OR7E24
Olfr1245,OR4A16
Olfr1352,OR7A10
Olfr837,OR7G2
Olfr855,OR7G2
En2,EN2
Copz1,COPZ1
B2m,B2M
Fzd8,FZD8
Gfap,GFAP
Star,STAR
Fzd2,FZD2
Hoxa11,HOXA11
Hoxc11,HOXC11
Sox17,SOX17
Mdk,MDK
Men1,MEN1
Robo3,ROBO3
Hspe1,HSPE1
Gpr173,GPR173
Esrra,ESRRA
Fgf8,FGF8
Smad5,SMAD5
Otx2,OTX2
Etv6,ETV6
Cldn17,CLDN17
Cldn9,CLDN9
Cldn6,CLDN6
Jag2,JAG2
Ikzf1,IKZF1
Cebpd,CEBPD
Gria2,GRIA2
Slit2,SLIT2
Mkrn2,MKRN2
Spns1,SPNS1
Tnnt2,TNNT2
Phc2,PHC2
Krt75,KRT75
Krt6a,KRT6A
Krt6a,KRT6B
Krt7,KRT7
Krt2,KRT2
Krt79,KRT79
Krt4,KRT4
Krt1,KRT1
Krt90,KRT90P
Krt8,KRT8
Krt6b,KRT6A
Krt6b,KRT6B
Rbp2,RBP2
Il17rd,IL17RD
Glra3,GLRA3
Glra4,GLRA4
Sec61a1,SEC61A1
Lmnb1,LMNB1
Lmna,LMNA
Naca,NACA
Srrt,SRRT
Atp6v1e1,ATP6V1E1
Atp6v1e2,ATP6V1E2
Cct3,CCT3
Cct7,CCT7
Ddx19b,DDX19B
Ddx19a,DDX19A
Hdac1,HDAC1
Mcm3,MCM3
Rpl24,RPL24
Rps5,RPS5
Sf3b4,SF3B4
Stil,STIL
Aurkb,AURKB
Aurkc-ps,AURKC
Aurkc,AURKC
Terf2,TERF2
U2af1,U2AF1
Vps18,VPS18
Csnk1a1,CSNK1A1
Csnk1a1,CSNK1A1L
Flot1,FLOT1
Insr,INSR
Ptk2b,PTK2B
Invs,INVS
Nek8,NEK8
Cygb,CYGB
Id3,ID3
Unc45b,UNC45B
Lyz2,LYZ
Lyz1,LYZ
Spaca5,SPACA5
Spaca5,SPACA5B
Lyzl1,LYZL1
Lyzl1,LYZL2
Lyzl6,LYZL6
9530003J23Rik,LYZ
Lyzl4,LYZL4
Spaca3,SPACA3
Tbx18,TBX18
Tbx15,TBX15
Cp,CP
Wnt2,WNT2
App,APP
Gdf3,GDF3
Gdf1,GDF1
Psmb8,PSMB8
Ldb2,LDB2
Map2k6,MAP2K6
Eif4e1b,EIF4E1B
Tbx2,TBX2
Pbx4,PBX4
Egr2,EGR2
Gli2,GLI2
Mmp21,MMP21
Hhex,HHEX
Tradd,TRADD
Adh5,ADH5
Zbtb22,ZBTB22
Rax,RAX
Krt5,KRT5
Hoxb6,HOXB6
Tbx5,TBX5
Fli1,FLI1
Oprm1,OPRM1
Psmb9,PSMB9
Slc39a7,SLC39A7
Tnnc2,TNNC2
Pou3f2,POU3F2
Pax9,PAX9
Ncam1,NCAM1
Evx1,EVX1
Hoxa1,HOXA1
Cldn4,CLDN4
Ugdh,UGDH
Klf3,KLF3
Hsf2,HSF2
Ckm,CKM
Klf1,KLF1
Notch3,NOTCH3
Guca1b,GUCA1B
Cxcr4,CXCR4
Vegfa,VEGFA
Elavl3,ELAVL3
Hoxb2,HOXB2
Fabp2,FABP2
Pitx2,PITX2
Nup93,NUP93
Ephb3,EPHB3
Foxa3,FOXA3
Spon2,SPON2
Foxc1,FOXC1
Nr1d2,NR1D2
Lhx5,LHX5
Mesp2,MESP2
Dhh,DHH
Dlx5,DLX5
Wnt8b,WNT8B
Gsc,GSC
Hoxd10,HOXD10
Igf1,IGF1
Mylpf,MYLPF
Tyro3,TYRO3
Nos1,NOS1
Hoxa13,HOXA13
Klf17,KLF17
Klf2,KLF2
Rbp3,RBP3
Foxn4,FOXN4
Nme7,NME7
Mapk12,MAPK12
Olfr181,OR5K4
Snai1,SNAI1
Wnt4,WNT4
Pou3f3,POU3F3
Hoxa4,HOXA4
En1,EN1
Acat2,ACAT2
Opn1mw,OPN1LW
Opn1mw,OPN1MW2
Opn1mw,OPN1MW3
Psma6,PSMA6
Gata1,GATA1
Apoa1,APOA1
Cxcl14,CXCL14
Cdk5,CDK5
Psmb5,PSMB5
Fut9,FUT9
Tnnt3,TNNT3
Dnmt1,DNMT1
Kit,KIT
Inhbb,INHBB
Hoxb5,HOXB5
Gdf5,GDF5
Cpsf4,CPSF4
Ccl28,CCL28
Stat3,STAT3
Lhx3,LHX3
Tbx20,TBX20
Sema4d,SEMA4D
Tek,TEK
Snap25,SNAP25
Cry1,CRY1
Alcam,ALCAM
Daxx,DAXX
Arx,ARX
Neurog1,NEUROG1
Msx2,MSX2
Pax6,PAX6
D1Pas1,DDX3X
Ddx3y,DDX3Y
Adar,ADAR
Pklr,PKLR
Gng3,GNG3
Bcl2l1,BCL2L1
Atp1a1,ATP1A1
Cldn11,CLDN11
Gch1,GCH1
mt-Nd4l,ND4L
Cacna1c,CACNA1C
Fthl17b,FTHL17
Fthl17f,FTHL17
Fthl17e,FTHL17
Fth1,FTH1
Fthl17a,FTHL17
Ftmt,FTMT
1700009N14Rik,RAN
Rasl2-9,RAN
Ran,RAN
Ucp2,UCP2
Rho,RHO
Adgra2,ADGRA2
Myog,MYOG
Hesx1,HESX1
Nkx2-6,NKX2-6
Opn1sw,OPN1SW
Olfr514,OR10A3
Olfr1122,OR10AG1
Mef2d,MEF2D
Six3,SIX3
Des,DES
Ctbp2,CTBP2
Peg12,FRAT1
Frat1,FRAT1
Frat2,FRAT2
Gdf6,GDF6
Pax3,PAX3
Epb41l4a,EPB41L4A
Bax,BAX
Hoxd4,HOXD4
Nr5a2,NR5A2
Twsg1,TWSG1
Ache,ACHE
mt-Nd3,ND3
Sox10,SOX10
Meis1,MEIS1
Tle3,TLE3
L1cam,L1CAM
Bmp4,BMP4
Tpst1,TPST1
Ctbp1,CTBP1
T,TBXT
Arntl,ARNTL
Robo1,ROBO1
Cdh2,CDH2
Foxa1,FOXA1
Ppard,PPARD
Sox9,SOX9
Sox15,SOX15
Hoxc9,HOXC9
Cd74,CD74
Elavl1,ELAVL1
Bmp2,BMP2
Foxb1,FOXB1
Etv4,ETV4
Frzb,FRZB
Mef2c,MEF2C
Hoxa2,HOXA2
Nme6,NME6
Casp8,CASP8
Epha1,EPHA1
Glra1,GLRA1
Ucp1,UCP1
Ppara,PPARA
Crybb1,CRYBB1
Efna3,EFNA3
mt-Nd2,ND2
Ptprf,PTPRF
Pknox1,PKNOX1
Hoxb1,HOXB1
Dbx1,DBX1
Fzd9,FZD9
Tnc,TNC
Ctnna1,CTNNA1
Pax5,PAX5
Pcx,PC
Hoxd3,HOXD3
Pou6f1,POU6F1
Psme3,PSME3
Ephb4,EPHB4
Smarcb1,SMARCB1
Hoxb3,HOXB3
Twist1,TWIST1
Sox21,SOX21
Alas1,ALAS1
Fzd10,FZD10
Fzd3,FZD3
Foxd2,FOXD2
Blcap,BLCAP
Gata5,GATA5
Otp,OTP
Nr2f1,NR2F1
Six5,SIX5
Psmb6,PSMB6
Efna5,EFNA5
Wnt5b,WNT5B
Tef,TEF
Hoxb4,HOXB4
Itk,ITK
Otx1,OTX1
Fbln1,FBLN1
Id1,ID1
Efnb3,EFNB3
Jag1,JAG1
Psap,PSAP
Psapl1,PSAPL1
Pbx3,PBX3
Calr3,CALR3
Ntn1,NTN1
Nkx2-5,NKX2-5
Efna2,EFNA2
Jak2,JAK2
Duxbl1,DUX4L1
Duxbl1,DUX4L2
Duxbl1,DUX4L4
Duxbl1,DUX4L9
Hoxd13,HOXD13
Epdr1,EPDR1
Trpc4ap,TRPC4AP
Fgfr4,FGFR4
Gsk3b,GSK3B
Hoxc12,HOXC12
Olfr521,OR2AT4
Ppm1b,PPM1B
C3,C3
Fzd1,FZD1
Gatd3a,GATD3
Pbx1,PBX1
Nipsnap1,NIPSNAP1
Clns1a,CLNS1A
Dlx2,DLX2
Zfp36,ZFP36
Elavl4,ELAVL4
Rara,RARA
Wt1,WT1
Cldn1,CLDN1
Pou4f3,POU4F3
Vars,VARS1
Nras,NRAS
Fzd4,FZD4
Mpp7,MPP7
Smad2,SMAD2
Ccnd1,CCND1
Nccrp1,NCCRP1
Pdx1,PDX1
Csnk2a2,CSNK2A2
Hoxc10,HOXC10
Copg1,COPG1
Copg2,COPG2
Hoxa5,HOXA5
Rrm2,RRM2
Wnt1,WNT1
Khdrbs1,KHDRBS1
Dlx3,DLX3
Spon1,SPON1
Ccne1,CCNE1
Ehmt2,EHMT2
Stat1,STAT1
Olfr520,OR2AT4
Casp3,CASP3
Nanos3,NANOS3
Ptprs,PTPRS
Lactb,LACTB
Olfr1,OR1E1
Olfr1,OR1E2
Olfr1,OR1E3
Ddx4,DDX4
Ldb1,LDB1
Kifc5b,KIFC1
Htt,HTT
Tenm4,TENM4
Sema3a,SEMA3A
Coil,COIL
Ngf,NGF
Csnk2a1,CSNK2A1
Gja8,GJA8
Mdm2,MDM2
Hoxd9,HOXD9
Eya1,EYA1
Hsf1,HSF1
Fzd5,FZD5
Zic2,ZIC2
Hes7,HES7
Hoxc8,HOXC8
Csnk2b,CSNK2B
Rhebl1,RHEBL1
Rheb,RHEB
Cry2,CRY2
Fgf3,FGF3
Dlx1,DLX1
Dhfr,DHFR
Dhfr,DHFR2
Dhfr,DHFRP1
Mmut,MMUT
F7,F7
Sfrp5,SFRP5
mt-Nd4,ND4
mt-Cytb,CYTB
Atp1b2,ATP1B2
Ccna2,CCNA2
Mtf1,MTF1
Atp6ap1,ATP6AP1
Rpl36al,RPL36A
Rpl36al,RPL36AL
Rpl36a,RPL36A
Scarb2,SCARB2
Ppp1r10,PPP1R10
Slc25a5,SLC25A5
Snrpc,SNRPC
Timm23,TIMM23
Timm23,TIMM23B
Uxs1,UXS1
Kif11,KIF11
Igf1r,IGF1R
Vangl2,VANGL2
Cryaa,CRYAA
Gbx2,GBX2
Gpi1,GPI
Mab21l2,MAB21L2
Mab21l1,MAB21L1
Ptgs1,PTGS1
Ahr,AHR
Azin2,AZIN2
Odc1,ODC1
Egr1,EGR1
Dll1,DLL1
Slit3,SLIT3
Sox3,SOX3
Cldn7,CLDN7
Ski,SKI
Dvl3,DVL3
Max,MAX
Pou3f1,POU3F1
Fabp7,FABP7
Actc1,ACTC1
Psen1,PSEN1
Alas2,ALAS2
Notch1,NOTCH1
Col11a2,COL11A2
Smad4,SMAD4
Sema3d,SEMA3D
Nme1,NME1
Nme2,NME1-NME2
Nme2,NME2
Glrb,GLRB
Smad1,SMAD1
Ngb,NGB
mt-Nd6,ND6
Cat,CAT
Fech,FECH
Cse1l,CSE1L
Ret,RET
Sod1,SOD1
Fezf2,FEZF2
Hoxd1,HOXD1
Apoe,APOE
Pcmt1,PCMT1
Ptch2,PTCH2
Dbh,DBH
Hba-x,HBZ
Smn1,SMN1
Smn1,SMN2
Rpa2,RPA2
Wnt8a,WNT8A
Mtnr1b,MTNR1B
Cdx4,CDX4
Slc34a2,SLC34A2
Nme3,NME3
Pyy,PYY
Pyy,PYY3
Oprd1,OPRD1
Ncam2,NCAM2
Myl1,MYL1
Wnt10a,WNT10A
Cdc25a,CDC25A
Cdc25b,CDC25B
Cdc25c,CDC25C
Nkx2-1,NKX2-1
Dmd,DMD
Pbx2,PBX2
Hoxa10,HOXA10
Gucy2e,GUCY2D
Xbp1,XBP1
Myod1,MYOD1
Jak1,JAK1
Dlx4,DLX4
Rgl2,RGL2
Olfr418,OR10J1
Olfr389,OR1E1
Olfr389,OR1E2
Olfr389,OR1E3
Cdh11,CDH11
Pla2g4a,PLA2G4A
Scn8a,SCN8A
Pes1,PES1
Urod,UROD
Axin1,AXIN1
Tal1,TAL1
Nr4a2,NR4A2
Dnajc3,DNAJC3
Anxa13,ANXA13
Nfya,NFYA
Aanat,AANAT
Efnb2,EFNB2
Meis3,MEIS3
Tfe3,TFE3
Smo,SMO
Cebpb,CEBPB
Ube4b,UBE4B
Lhx1,LHX1
Serpinh1,SERPINH1
Hsp90ab1,HSP90AB1
Srf,SRF
Rxrb,RXRB
Ednrb,EDNRB
Stx1b,STX1B
Myb,MYB
Hoxb9,HOXB9
Inhba,INHBA
Lima1,LIMA1
Ctsq,CTSL
Ctsr,CTSL
Ctsm,CTSL
Ctsj,CTSL
Cts7,CTSL
Cts3,CTSL
Ctsll3,CTSL
Cts6,CTSL
Ctsl,CTSL
Ctsl,CTSV
Cts8,CTSL
BC051665,CTSL
4930486L24Rik,CTSL
Copz2,COPZ2
Gdf7,GDF7
Neurod2,NEUROD2
Wif1,WIF1
Prph2,PRPH2
Tpm1,TPM1
Efnb1,EFNB1
Angpt1,ANGPT1
Prkci,PRKCI
mt-Co2,COX2
mt-Co2,MTCO2P12
Cyp1a2,CYP1A2
Cyp1a1,CYP1A1
S1pr2,S1PR2
Adarb1,ADARB1
Six4,SIX4
Tdgf1,TDGF1
Tdgf1,TDGF1P3
Cfc1,CFC1
Cfc1,CFC1B
Nrf1,NRF1
Mcl1,MCL1
Ldhb,LDHB
Cdh1,CDH1
Myl7,MYL7
Rorc,RORC
Ihh,IHH
Dlx6,DLX6
Eomes,EOMES
Ptpn1,PTPN1
Sptb,SPTB
Myf5,MYF5
Hspa8,HSPA8
Hes5,HES5
Bag6,BAG6
Edn1,EDN1
mt-Atp6,ATP6
Fads3,FADS3
Fads2b,FADS2B
Fads2,FADS2
Igf2,IGF2
Tnn,TNN
Atp1b1,ATP1B1
Foxo3,FOXO3
Rbp4,RBP4
Pth2r,PTH2R
Mapk14,MAPK14
Mtch2,MTCH2
Gcg,GCG
Btg2,BTG2
Hoxd11,HOXD11
Chrd,CHRD
Psme1,PSME1
Tenm3,TENM3
Rplp0,RPLP0
Npy,NPY
Dazl,DAZ1
Dazl,DAZ2
Dazl,DAZ3
Dazl,DAZ4
Dazl,DAZL
Arntl2,ARNTL2
Fgfr3,FGFR3
Pcna,PCNA
Neurod1,NEUROD1
Bmpr1a,BMPR1A
Pth1r,PTH1R
Angptl3,ANGPTL3
Gnat3,GNAT3
Gnat2,GNAT2
mt-Nd1,ND1
Cebpg,CEBPG
Mafb,MAFB
Bmpr1b,BMPR1B
Hbb-bh2,HBB
Hbb-bh2,HBD
Hbb-y,HBE1
Melk,MELK
Atoh7,ATOH7
Etv5,ETV5
Gm11127,HLA-E
Gm11127,HLA-F
Gm11127,HLA-G
Gm7030,HLA-E
Gm7030,HLA-F
Gm7030,HLA-G
H2-M10.5,HLA-E
H2-M10.5,HLA-F
H2-M10.5,HLA-G
H2-T3,HLA-A
H2-T3,HLA-B
H2-T3,HLA-C
H2-T3,HLA-E
H2-T3,HLA-F
H2-T3,HLA-G
H2-T3,HLA-H
H2-M10.1,HLA-E
H2-M10.1,HLA-F
H2-M10.1,HLA-G
H2-M1,HLA-E
H2-M1,HLA-F
H2-M1,HLA-G
Gm8909,HLA-B
Gm8909,HLA-C
Gm8909,HLA-E
Gm8909,HLA-F
Gm8909,HLA-G
Gm8909,HLA-H
H2-Q4,HLA-E
H2-Q4,HLA-F
H2-Q4,HLA-G
H2-M10.2,HLA-E
H2-M10.2,HLA-F
H2-M10.2,HLA-G
H2-Q8,HLA-A
H2-Q8,HLA-B
H2-Q8,HLA-C
H2-Q8,HLA-E
H2-Q8,HLA-F
H2-Q8,HLA-G
H2-Q8,HLA-H
H2-M9,HLA-E
H2-M9,HLA-F
H2-M9,HLA-G
H2-M3,HLA-E
H2-M3,HLA-F
H2-M3,HLA-G
H2-K1,HLA-A
H2-K1,HLA-B
H2-K1,HLA-C
H2-K1,HLA-E
H2-K1,HLA-F
H2-K1,HLA-G
H2-K1,HLA-H
H2-M10.4,HLA-E
H2-M10.4,HLA-F
H2-M10.4,HLA-G
H2-D1,HLA-A
H2-D1,HLA-B
H2-D1,HLA-C
H2-D1,HLA-E
H2-D1,HLA-F
H2-D1,HLA-G
H2-D1,HLA-H
Fcgrt,FCGRT
H2-M5,HLA-E
H2-M5,HLA-F
H2-M5,HLA-G
H2-Q10,HLA-B
H2-Q10,HLA-C
H2-Q10,HLA-E
H2-Q10,HLA-F
H2-Q10,HLA-G
H2-Q10,HLA-H
H2-Q7,HLA-E
H2-Q7,HLA-F
H2-Q7,HLA-G
H2-M2,HLA-E
H2-M2,HLA-F
H2-M2,HLA-G
H2-M10.3,HLA-E
H2-M10.3,HLA-F
H2-M10.3,HLA-G
H2-Q2,HLA-B
H2-Q2,HLA-C
H2-Q2,HLA-E
H2-Q2,HLA-F
H2-Q2,HLA-G
H2-Q2,HLA-H
Mr1,MR1
H2-M10.6,HLA-E
H2-M10.6,HLA-F
H2-M10.6,HLA-G
H2-T23,HLA-E
H2-T23,HLA-F
H2-T23,HLA-G
H2-T22,HLA-E
H2-T22,HLA-F
H2-T22,HLA-G
H2-Q1,HLA-B
H2-Q1,HLA-C
H2-Q1,HLA-E
H2-Q1,HLA-F
H2-Q1,HLA-G
H2-Q1,HLA-H
Slc3a2,SLC3A2
Ndrg3,NDRG3
Tle5,TLE5
Ctnnb1,CTNNB1
Foxd3,FOXD3
Fst,FST
Emx2,EMX2
Msx1,MSX1
Actn3,ACTN3
Celf3,CELF3
Hsp90aa1,HSP90AA1
Tmod4,TMOD4
Ldhc,LDHC
Ldha,LDHA
Ldhal6b,LDHAL6B
Myh6,MYH6
Myh7,MYH7
Gm5150,SIRPB2
Gjb1,GJB1
Cldn13,CLDN4
Gnat1,GNAT1
mt-Nd5,ND5
Pdp2,PDP2
Erh,ERH
Gm10131,ERH
Nog,NOG
Cfb,CFB
Gata2,GATA2
Mest,MEST
Gap43,GAP43
Runx1,RUNX1
Lmo2,LMO2
Hoxa3,HOXA3
Igf2bp3,IGF2BP3
Mxi1,MXI1
Vsx1,VSX1
Epha4,EPHA4
Cdh4,CDH4
Acvr1,ACVR1
Psme2b,PSME2
Psme2,PSME2
Vps52,VPS52
Cnmd,CNMD
Angpt2,ANGPT2
Csf1r,CSF1R
Guca1a,GUCA1A
Vim,VIM
Irx3,IRX3
Ina,INA
Olfr1221,OR4C15
Olfr1426,OR4D10
Olfr142,OR4B1
Olfr218,OR10J3
Olfr1216,OR4C15
Olfr1404,OR10J3
Olfr362,OR1B1
Olfr1257,OR4C13
Olfr1257,OR4C46
Olfr16,OR10J5
Olfr1211,OR4C15
Olfr1255,OR4C12
Olfr394,OR1E1
Olfr394,OR1E2
Olfr394,OR1E3
Olfr1205,OR4C11
Olfr1509,OR4E2
Olfr722,OR4N5
Olfr406,OR1P1
Olfr381,OR1E1
Olfr381,OR1E2
Olfr381,OR1E3
Olfr1259,OR4C12
Olfr351,OR1N1
Olfr444,OR2A14
Olfr420,OR6K2
Olfr354,OR1N2
Olfr23,OR1E1
Olfr23,OR1E2
Olfr23,OR1E3
Olfr391,OR1E1
Olfr391,OR1E2
Olfr395,OR1E1
Olfr395,OR1E2
Olfr395,OR1E3
Olfr1189,OR4C6
Olfr1357,OR1I1
Olfr350,OR1J4
Olfr393,OR1E1
Olfr393,OR1E2
Olfr393,OR1E3
Olfr463,OR4D2
Olfr390,OR1E1
Olfr390,OR1E2
Olfr390,OR1E3
Olfr1180,OR4P4
Olfr380,OR1E1
Olfr380,OR1E2
Olfr380,OR1E3
Olfr382,OR1E1
Olfr382,OR1E2
Olfr382,OR1E3
Olfr1496,OR1S1
Olfr1496,OR1S2
Olfr1272,OR4B1
Olfr59,OR1P1
Olfr1201,OR4C11
Olfr1213,OR4C15
Olfr1193,OR4S2
Olfr726,OR4K15
Olfr1264,OR4C3
Olfr353,OR1N1
Olfr1232,OR4C15
Olfr933,OR8D1
Olfr1271,OR4B1
Olfr1508,OR4E1
Olfr419,OR10Z1
Olfr1212,OR4C15
Olfr1220,OR4C15
Olfr1204,OR4C13
Olfr1204,OR4C46
Olfr1507,OR4E1
Olfr412,OR1D2
Olfr412,OR1D5
Olfr376,OR1E2
Olfr376,OR1E3
Olfr32,OR4B1
Olfr434,OR2A42
Olfr1202,OR4C13
Olfr1202,OR4C46
Olfr730,OR4K2
Olfr357,OR1Q1
Olfr384,OR1E1
Olfr384,OR1E2
Olfr384,OR1E3
Olfr435,OR2A42
Olfr735,OR4Q3
Olfr1424,OR4D10
Olfr1225,OR4C15
Olfr725,OR4K15
Olfr385,OR1E1
Olfr385,OR1E2
Olfr385,OR1E3
Olfr728,OR4K1
Olfr441,OR2A14
Olfr1226,OR4C15
Olfr734,OR4M1
Olfr734,OR4M2
Olfr1206,OR4C11
Olfr1258,OR4C13
Olfr1258,OR4C46
Olfr20,OR1E1
Olfr20,OR1E3
Olfr13,OR2A4
Olfr13,OR2A7
Olfr1270,OR4B1
Olfr378,OR1E1
Olfr378,OR1E2
Olfr378,OR1E3
Olfr447,OR2A25
Olfr392,OR1E1
Olfr392,OR1E2
Olfr392,OR1E3
Olfr1229,OR4C15
Olfr1222,OR4C15
Olfr446,OR2A12
Olfr437,OR2A2
Olfr448,OR2A5
Olfr365,OR1L4
Olfr365,OR1L6
Olfr1428,OR4D6
Olfr462,OR4D2
Olfr24,OR1M1
Olfr237,OR2A14
Olfr309,OR13G1
Olfr47,OR2A42
Olfr1230,OR4C6
Acvr1b,ACVR1B
Jup,JUP
Wnt11,WNT11
Dcn,DCN
Tcf15,TCF15
Mef2a,MEF2A
Ebf2,EBF2
Psen2,PSEN2
Tie1,TIE1
Ctsd,CTSD
Hey2,HEY2
Gpr85,GPR85
Htatip2,HTATIP2
Lfng,LFNG
Irx5,IRX5
Neurog3,NEUROG3
Gpc4,GPC4
Ptk2,PTK2
Mkrn1,MKRN1
Mkrn1,MKRN4P
Mkrn3,MKRN3
Fabp3,FABP3
Dach2,DACH2
Tpi1,TPI1
Eef1g,EEF1G
B3gat3,B3GAT3
Actl6a,ACTL6A
Dtl,DTL
Mak16,MAK16
Mcm2,MCM2
Mcm7,MCM7
Ncbp2,NCBP2
Pole2,POLE2
Gm2000,RPL35
Rpl35,RPL35
Rps18,RPS18
Smc4,SMC4
Snrpd1,SNRPD1
Taf7l2,TAF7L
Taf7,TAF7
Flot2,FLOT2
Ptgs2,PTGS2
Bivm,BIVM
Tcf3,TCF3
Flt4,FLT4
Gucy2f,GUCY2F
Fgf4,FGF4
Kif23,KIF23
Myh13,MYH13
Myh8,MYH8
Myh3,MYH3
Myh4,MYH4
Myh2,MYH2
Myh1,MYH1
Ptch1,PTCH1
Epha2,EPHA2
Clock,CLOCK
Casp4,CASP4
Casp4,CASP5
Dct,DCT
Myo7a,MYO7A
Brd2,BRD2
Ube2i,UBE2I
Tcf7l1,TCF7L1
Thrb,THRB
Mstn,MSTN
Celf1,CELF1
Dkk1,DKK1
Bdnf,BDNF
Rarg,RARG
Atp1a2,ATP1A2
Ctnnbip1,CTNNBIP1
Ptpra,PTPRA
Dmbx1,DMBX1
Tlx2,TLX2
Gata4,GATA4
Cyp26a1,CYP26A1
Prph,PRPH
S1pr1,S1PR1
Maf,MAF
Pdgfra,PDGFRA
Prox1,PROX1
Lmnb2,LMNB2
Foxh1,FOXH1
Col2a1,COL2A1
Hand2,HAND2
Acvr2b,ACVR2B
Gja1,GJA1
Lef1,LEF1
Qk,QKI
Gsk3a,GSK3A
Ybx3,YBX3
Ybx1,YBX1
